publication_id,topic_id,topic_name,score,subfield,field,domain
W1969360633,T10798,Crystallography and molecular interactions,0.9990000128746033,Physical and Theoretical Chemistry,Chemistry,Physical Sciences
W1969360633,T11162,Enzyme Structure and Function,0.9976999759674072,Materials Chemistry,Materials Science,Physical Sciences
W2180229411,T11162,Enzyme Structure and Function,0.9998999834060669,Materials Chemistry,Materials Science,Physical Sciences
W2180229411,T10044,Protein Structure and Dynamics,0.9994000196456909,Molecular Biology,"Biochemistry, Genetics and Molecular Biology",Life Sciences
W2180229411,T10932,Microbial Metabolic Engineering and Bioproduction,0.9822999835014343,Molecular Biology,"Biochemistry, Genetics and Molecular Biology",Life Sciences
W4248872320,T11162,Enzyme Structure and Function,0.9994000196456909,Materials Chemistry,Materials Science,Physical Sciences
W4248872320,T12613,X-ray Diffraction in Crystallography,0.9904000163078308,Materials Chemistry,Materials Science,Physical Sciences
W4248872320,T10995,Methane Hydrates and Related Phenomena,0.9894999861717224,Environmental Chemistry,Environmental Science,Physical Sciences
W2124026197,T11162,Enzyme Structure and Function,0.9983000159263611,Materials Chemistry,Materials Science,Physical Sciences
W2124026197,T10044,Protein Structure and Dynamics,0.991599977016449,Molecular Biology,"Biochemistry, Genetics and Molecular Biology",Life Sciences
W2124026197,T10303,Photosynthetic Processes and Mechanisms,0.984000027179718,Molecular Biology,"Biochemistry, Genetics and Molecular Biology",Life Sciences
W2144081223,T11162,Enzyme Structure and Function,0.9997000098228455,Materials Chemistry,Materials Science,Physical Sciences
W2144081223,T10044,Protein Structure and Dynamics,0.9987000226974487,Molecular Biology,"Biochemistry, Genetics and Molecular Biology",Life Sciences
W2144081223,T10932,Microbial Metabolic Engineering and Bioproduction,0.9908000230789185,Molecular Biology,"Biochemistry, Genetics and Molecular Biology",Life Sciences
W1995017064,T11809,Advanced NMR Techniques and Applications,0.9990000128746033,Spectroscopy,Chemistry,Physical Sciences
W1995017064,T11162,Enzyme Structure and Function,0.998199999332428,Materials Chemistry,Materials Science,Physical Sciences
W1995017064,T10044,Protein Structure and Dynamics,0.9855999946594238,Molecular Biology,"Biochemistry, Genetics and Molecular Biology",Life Sciences
W2001641653,T11162,Enzyme Structure and Function,0.9908999800682068,Materials Chemistry,Materials Science,Physical Sciences
W2366536035,T10129,Glioma Diagnosis and Treatment,0.9998999834060669,Genetics,Medicine,Health Sciences
W2366536035,T11251,Meningioma and schwannoma management,0.998199999332428,Epidemiology,Medicine,Health Sciences
W2366536035,T11600,Brain Metastases and Treatment,0.9959999918937683,Pulmonary and Respiratory Medicine,Medicine,Health Sciences
W2052742260,T10086,Alzheimer's disease research and treatments,0.9995999932289124,Physiology,Medicine,Health Sciences
W2052742260,T10009,Dementia and Cognitive Impairment Research,0.9988999962806702,Psychiatry and Mental health,Medicine,Health Sciences
W2052742260,T10448,Memory and Neural Mechanisms,0.994700014591217,Cognitive Neuroscience,Neuroscience,Life Sciences
W2166281097,T10853,"Anxiety, Depression, Psychometrics, Treatment, Cognitive Processes",0.9994000196456909,Experimental and Cognitive Psychology,Psychology,Social Sciences
W2166281097,T11334,Psychosomatic Disorders and Their Treatments,0.9988999962806702,Psychiatry and Mental health,Medicine,Health Sciences
W2166281097,T11083,Cardiac Health and Mental Health,0.9973000288009644,Cardiology and Cardiovascular Medicine,Medicine,Health Sciences
W2140918013,T14477,"Management, Economics, and Public Policy",0.052000001072883606,Marketing,"Business, Management and Accounting",Social Sciences
W2140918013,T13402,Business Strategy and Innovation,0.04960000142455101,Strategy and Management,"Business, Management and Accounting",Social Sciences
W2140918013,T12751,Leadership and Management in Organizations,0.04650000110268593,Strategy and Management,"Business, Management and Accounting",Social Sciences
W2108795964,T10003,Innovation and Knowledge Management,0.9977999925613403,Strategy and Management,"Business, Management and Accounting",Social Sciences
W2108795964,T11849,Intellectual Capital and Performance Analysis,0.9868000149726868,Strategy and Management,"Business, Management and Accounting",Social Sciences
W2108795964,T12659,Innovation Diffusion and Forecasting,0.9789999723434448,Management Science and Operations Research,Decision Sciences,Social Sciences
W2135732933,T11881,Crystallization and Solubility Studies,0.9998000264167786,Materials Chemistry,Materials Science,Physical Sciences
W2135732933,T10908,Analytical Chemistry and Chromatography,0.9993000030517578,Spectroscopy,Chemistry,Physical Sciences
W2135732933,T10256,Drug Solubulity and Delivery Systems,0.9988999962806702,Pharmaceutical Science,"Pharmacology, Toxicology and Pharmaceutics",Life Sciences
W2061438946,T10100,Metaheuristic Optimization Algorithms Research,0.9998999834060669,Artificial Intelligence,Computer Science,Physical Sciences
W2061438946,T10848,Advanced Multi-Objective Optimization Algorithms,0.9940000176429749,Computational Theory and Mathematics,Computer Science,Physical Sciences
W2061438946,T11975,Evolutionary Algorithms and Applications,0.9761000275611877,Artificial Intelligence,Computer Science,Physical Sciences
W4214907476,T10314,Social and Intergroup Psychology,0.3384000062942505,Sociology and Political Science,Social Sciences,Social Sciences
W2061977616,T10003,Innovation and Knowledge Management,0.9932000041007996,Strategy and Management,"Business, Management and Accounting",Social Sciences
W2061977616,T11849,Intellectual Capital and Performance Analysis,0.9697999954223633,Strategy and Management,"Business, Management and Accounting",Social Sciences
W2061977616,T12851,Firm Innovation and Growth,0.9573000073432922,Economics and Econometrics,"Economics, Econometrics and Finance",Social Sciences
W1993663609,T10344,Management and Organizational Studies,0.9993000030517578,Organizational Behavior and Human Resource Management,"Business, Management and Accounting",Social Sciences
W1993663609,T10213,Public Policy and Administration Research,0.9735000133514404,Public Administration,Social Sciences,Social Sciences
W1993663609,T13235,Management Theory and Practice,0.9599999785423279,Organizational Behavior and Human Resource Management,"Business, Management and Accounting",Social Sciences
W2069687969,T12795,Banana Cultivation and Research,0.5090000033378601,Plant Science,Agricultural and Biological Sciences,Life Sciences
W1974097079,T10360,Fluid Dynamics and Turbulent Flows,0.9998000264167786,Computational Mechanics,Engineering,Physical Sciences
W1974097079,T11371,Wind and Air Flow Studies,0.9972000122070312,Environmental Engineering,Environmental Science,Physical Sciences
W1974097079,T10173,Computational Fluid Dynamics and Aerodynamics,0.996399998664856,Computational Mechanics,Engineering,Physical Sciences
W2115017507,T10009,Dementia and Cognitive Impairment Research,0.9994000196456909,Psychiatry and Mental health,Medicine,Health Sciences
W2115017507,T10086,Alzheimer's disease research and treatments,0.9758999943733215,Physiology,Medicine,Health Sciences
W2115017507,T11011,Frailty in Older Adults,0.9571999907493591,Geriatrics and Gerontology,Medicine,Health Sciences
W3121131820,T10019,Corporate Finance and Governance,0.901199996471405,Accounting,"Business, Management and Accounting",Social Sciences
W2136931384,T12167,Bacterial Identification and Susceptibility Testing,0.9995999932289124,Clinical Biochemistry,"Biochemistry, Genetics and Molecular Biology",Life Sciences
W2136931384,T11316,Mycobacterium research and diagnosis,0.9980000257492065,Epidemiology,Medicine,Health Sciences
W2136931384,T13791,Veterinary medicine and infectious diseases,0.9950000047683716,Small Animals,Veterinary,Health Sciences
W2114004260,T10908,Analytical Chemistry and Chromatography,0.9811000227928162,Spectroscopy,Chemistry,Physical Sciences
W2114004260,T11667,Advanced Chemical Sensor Technologies,0.9778000116348267,Biomedical Engineering,Engineering,Physical Sciences
W2114004260,T10836,Metabolomics and Mass Spectrometry Studies,0.9474999904632568,Molecular Biology,"Biochemistry, Genetics and Molecular Biology",Life Sciences
W2256756668,T11610,Food Security and Health in Diverse Populations,0.8838000297546387,General Health Professions,Health Professions,Health Sciences
W1631356911,T10622,Quantum Mechanics and Applications,0.850600004196167,"Atomic and Molecular Physics, and Optics",Physics and Astronomy,Physical Sciences
W1631356911,T10682,Quantum Computing Algorithms and Architecture,0.8460000157356262,Artificial Intelligence,Computer Science,Physical Sciences
W2078206416,T14339,Image Processing and 3D Reconstruction,0.7738999724388123,Computer Vision and Pattern Recognition,Computer Science,Physical Sciences
W2078206416,T12417,Morphological variations and asymmetry,0.6801999807357788,Geometry and Topology,Mathematics,Physical Sciences
W2120062331,T10963,Advanced Optimization Algorithms Research,0.1445000022649765,Numerical Analysis,Mathematics,Physical Sciences
W2120062331,T14500,Advanced Mathematical Theories,0.1429000049829483,Mathematical Physics,Mathematics,Physical Sciences
W2120062331,T10792,Matrix Theory and Algorithms,0.12290000170469284,Computational Theory and Mathematics,Computer Science,Physical Sciences
W1974085346,T12613,X-ray Diffraction in Crystallography,0.9747999906539917,Materials Chemistry,Materials Science,Physical Sciences
W1974085346,T13129,Material Properties and Applications,0.9434999823570251,General Materials Science,Materials Science,Physical Sciences
W2056722718,T12044,Advanced Physical and Chemical Molecular Interactions,0.10790000110864639,Physical and Theoretical Chemistry,Chemistry,Physical Sciences
W2116839388,T10426,Child Abuse and Trauma,0.9959999918937683,Clinical Psychology,Psychology,Social Sciences
W2116839388,T11464,Homelessness and Social Issues,0.9836000204086304,General Health Professions,Health Professions,Health Sciences
W2116839388,T11629,"Birth, Development, and Health",0.9746000170707703,"Pediatrics, Perinatology and Child Health",Medicine,Health Sciences
W2127951128,T10143,Chronic Obstructive Pulmonary Disease (COPD) Research,1.0,Pulmonary and Respiratory Medicine,Medicine,Health Sciences
W2127951128,T10322,Respiratory Support and Mechanisms,0.9975000023841858,Pulmonary and Respiratory Medicine,Medicine,Health Sciences
W2127951128,T10051,Asthma and respiratory diseases,0.9848999977111816,Physiology,Medicine,Health Sciences
W3123534837,T11239,Social Capital and Networks,0.7810999751091003,Sociology and Political Science,Social Sciences,Social Sciences
W3123534837,T10785,Economic Theory and Institutions,0.723800003528595,Economics and Econometrics,"Economics, Econometrics and Finance",Social Sciences
W3022339544,T10785,Economic Theory and Institutions,0.9477999806404114,Economics and Econometrics,"Economics, Econometrics and Finance",Social Sciences
W3022339544,T11743,Political Economy and Marxism,0.9160000085830688,Sociology and Political Science,Social Sciences,Social Sciences
W1965278510,T10344,Management and Organizational Studies,0.9865999817848206,Organizational Behavior and Human Resource Management,"Business, Management and Accounting",Social Sciences
W1965278510,T13235,Management Theory and Practice,0.9850999712944031,Organizational Behavior and Human Resource Management,"Business, Management and Accounting",Social Sciences
W1965278510,T12730,"Weber, Simmel, Sociological Theory",0.9483000040054321,Sociology and Political Science,Social Sciences,Social Sciences
W2109469951,T12592,Opinion Dynamics and Social Influence,0.9994000196456909,Statistical and Nonlinear Physics,Physics and Astronomy,Physical Sciences
W2109469951,T10064,Complex Network Analysis Techniques,0.9958000183105469,Statistical and Nonlinear Physics,Physics and Astronomy,Physical Sciences
W2109469951,T11239,Social Capital and Networks,0.9958000183105469,Sociology and Political Science,Social Sciences,Social Sciences
W2144846366,T11031,Game Theory and Applications,0.8385000228881836,Management Science and Operations Research,Decision Sciences,Social Sciences
W4247665917,T13091,Human Health and Disease,0.11829999834299088,"Pediatrics, Perinatology and Child Health",Medicine,Health Sciences
W4281687410,T13091,Human Health and Disease,0.11919999867677689,"Pediatrics, Perinatology and Child Health",Medicine,Health Sciences
W4242883546,T11400,Motivation and Self-Concept in Sports,0.9998999834060669,Social Psychology,Psychology,Social Sciences
W4242883546,T10547,"Education, Achievement, and Giftedness",0.9873999953269958,Experimental and Cognitive Psychology,Psychology,Social Sciences
W4242883546,T12258,"Perfectionism, Procrastination, Anxiety Studies",0.9811999797821045,Clinical Psychology,Psychology,Social Sciences
W2141846678,T11400,Motivation and Self-Concept in Sports,0.9998000264167786,Social Psychology,Psychology,Social Sciences
W2141846678,T10547,"Education, Achievement, and Giftedness",0.9976999759674072,Experimental and Cognitive Psychology,Psychology,Social Sciences
W2141846678,T12258,"Perfectionism, Procrastination, Anxiety Studies",0.9840999841690063,Clinical Psychology,Psychology,Social Sciences
W3123282572,T10344,Management and Organizational Studies,0.9609000086784363,Organizational Behavior and Human Resource Management,"Business, Management and Accounting",Social Sciences
W2073506374,T11743,Political Economy and Marxism,0.9968000054359436,Sociology and Political Science,Social Sciences,Social Sciences
W2073506374,T11742,Economic Theory and Policy,0.9351000189781189,"General Economics, Econometrics and Finance","Economics, Econometrics and Finance",Social Sciences
W2044950274,T13277,"Media, Religion, Digital Communication",0.0544000007212162,Philosophy,Arts and Humanities,Social Sciences
W2075435443,T12524,Chemical Synthesis and Characterization,0.9577999711036682,Industrial and Manufacturing Engineering,Environmental Science,Physical Sciences
W2165292984,T10212,Electrochemical sensors and biosensors,0.9761999845504761,Electrical and Electronic Engineering,Engineering,Physical Sciences
W2165292984,T10452,Iron Metabolism and Disorders,0.9732999801635742,Hematology,Medicine,Health Sciences
W2165292984,T11534,Erythropoietin and Anemia Treatment,0.9663000106811523,Hematology,Medicine,Health Sciences
W2314225431,T13937,"Genetics, Bioinformatics, and Biomedical Research",0.23240000009536743,Molecular Biology,"Biochemistry, Genetics and Molecular Biology",Life Sciences
W1856219842,T11634,Water Quality and Pollution Assessment,0.8208000063896179,Water Science and Technology,Environmental Science,Physical Sciences
W4294216491,T11970,Molecular Biology Techniques and Applications,0.9787999987602234,Molecular Biology,"Biochemistry, Genetics and Molecular Biology",Life Sciences
W2134812217,T11970,Molecular Biology Techniques and Applications,0.9337999820709229,Molecular Biology,"Biochemistry, Genetics and Molecular Biology",Life Sciences
W4232534952,T10683,Mass Spectrometry Techniques and Applications,0.9987000226974487,Spectroscopy,Chemistry,Physical Sciences
W4232534952,T10333,Meat and Animal Product Quality,0.9976000189781189,Animal Science and Zoology,Agricultural and Biological Sciences,Life Sciences
W4232534952,T10908,Analytical Chemistry and Chromatography,0.996999979019165,Spectroscopy,Chemistry,Physical Sciences
W2014669590,T10207,Advanced biosensing and bioanalysis techniques,0.9975000023841858,Molecular Biology,"Biochemistry, Genetics and Molecular Biology",Life Sciences
W2014669590,T10432,DNA and Nucleic Acid Chemistry,0.9958999752998352,Molecular Biology,"Biochemistry, Genetics and Molecular Biology",Life Sciences
W2014669590,T11086,Parasitic Infections and Diagnostics,0.9886999726295471,Parasitology,Immunology and Microbiology,Life Sciences
W1983310681,T10836,Metabolomics and Mass Spectrometry Studies,0.9954000115394592,Molecular Biology,"Biochemistry, Genetics and Molecular Biology",Life Sciences
W1983310681,T10333,Meat and Animal Product Quality,0.9923999905586243,Animal Science and Zoology,Agricultural and Biological Sciences,Life Sciences
W1983310681,T10445,Antioxidant Activity and Oxidative Stress,0.9914000034332275,Biochemistry,Medicine,Health Sciences
W2128635872,T10333,Meat and Animal Product Quality,0.9998000264167786,Animal Science and Zoology,Agricultural and Biological Sciences,Life Sciences
W2128635872,T11561,Protein Hydrolysis and Bioactive Peptides,0.9923999905586243,Molecular Biology,"Biochemistry, Genetics and Molecular Biology",Life Sciences
W2128635872,T11663,Viral Infectious Diseases and Gene Expression in Insects,0.9908999800682068,Molecular Biology,"Biochemistry, Genetics and Molecular Biology",Life Sciences
W4293247451,T10333,Meat and Animal Product Quality,0.9998999834060669,Animal Science and Zoology,Agricultural and Biological Sciences,Life Sciences
W4293247451,T10750,Fermentation and Sensory Analysis,0.9751999974250793,Food Science,Agricultural and Biological Sciences,Life Sciences
W4293247451,T11399,Muscle metabolism and nutrition,0.9733999967575073,Cell Biology,"Biochemistry, Genetics and Molecular Biology",Life Sciences
W2298230951,T13297,History and advancements in chemistry,0.6783999800682068,Physical and Theoretical Chemistry,Chemistry,Physical Sciences
W2109606373,T10908,Analytical Chemistry and Chromatography,0.7802000045776367,Spectroscopy,Chemistry,Physical Sciences
W2109606373,T12327,Various Chemistry Research Topics,0.7251999974250793,Physical and Theoretical Chemistry,Chemistry,Physical Sciences
W2109606373,T12157,Geochemistry and Geologic Mapping,0.7085999846458435,Artificial Intelligence,Computer Science,Physical Sciences
W2009674410,T11472,Analytical Chemistry and Sensors,0.9916999936103821,Bioengineering,Chemical Engineering,Physical Sciences
W2009674410,T10532,Molecular Sensors and Ion Detection,0.9854000210762024,Spectroscopy,Chemistry,Physical Sciences
W2009674410,T10212,Electrochemical sensors and biosensors,0.9782999753952026,Electrical and Electronic Engineering,Engineering,Physical Sciences
W1968834637,T11584,Biochemical Analysis and Sensing Techniques,0.9890000224113464,Nutrition and Dietetics,Nursing,Health Sciences
W1968834637,T10908,Analytical Chemistry and Chromatography,0.9889000058174133,Spectroscopy,Chemistry,Physical Sciences
W1968834637,T11667,Advanced Chemical Sensor Technologies,0.9810000061988831,Biomedical Engineering,Engineering,Physical Sciences
W593898368,T13559,Edcuational Technology Systems,0.8513000011444092,Artificial Intelligence,Computer Science,Physical Sciences
W593898368,T10561,Educational Research and Methods,0.8417999744415283,Education,Social Sciences,Social Sciences
W593898368,T11734,Decision Support System Applications,0.8320000171661377,Management Information Systems,"Business, Management and Accounting",Social Sciences
W1584697775,T13447,Educational and Psychological Assessments,0.9732000231742859,Developmental and Educational Psychology,Psychology,Social Sciences
W2891378911,T12443,Delphi Technique in Research,0.9987000226974487,Sociology and Political Science,Social Sciences,Social Sciences
W2891378911,T10804,"Health Systems, Economic Evaluations, Quality of Life",0.9937999844551086,Economics and Econometrics,"Economics, Econometrics and Finance",Social Sciences
W2891378911,T10206,Meta-analysis and systematic reviews,0.991599977016449,"Statistics, Probability and Uncertainty",Decision Sciences,Social Sciences
W2155965977,T10408,Chronic Kidney Disease and Diabetes,0.9998999834060669,Nephrology,Medicine,Health Sciences
W2155965977,T10291,Dialysis and Renal Disease Management,0.9987999796867371,Nephrology,Medicine,Health Sciences
W2155965977,T11029,Renal Diseases and Glomerulopathies,0.9980000257492065,Nephrology,Medicine,Health Sciences
W2005501262,T10206,Meta-analysis and systematic reviews,0.9998000264167786,"Statistics, Probability and Uncertainty",Decision Sciences,Social Sciences
W2005501262,T10804,"Health Systems, Economic Evaluations, Quality of Life",0.996399998664856,Economics and Econometrics,"Economics, Econometrics and Finance",Social Sciences
W2005501262,T11235,Statistical Methods in Clinical Trials,0.9951000213623047,Statistics and Probability,Mathematics,Physical Sciences
W2059796825,T10206,Meta-analysis and systematic reviews,0.9973999857902527,"Statistics, Probability and Uncertainty",Decision Sciences,Social Sciences
W2059796825,T12443,Delphi Technique in Research,0.9653000235557556,Sociology and Political Science,Social Sciences,Social Sciences
W2059796825,T13309,Reliability and Agreement in Measurement,0.9628999829292297,"Statistics, Probability and Uncertainty",Decision Sciences,Social Sciences
W1485044783,T11791,Microbial Community Ecology and Physiology,0.7516999840736389,Ecology,Environmental Science,Physical Sciences
W1485044783,T11617,Enzyme Production and Characterization,0.7264999747276306,Biotechnology,"Biochemistry, Genetics and Molecular Biology",Life Sciences
W2096998881,T11930,"Cardiac, Anesthesia and Surgical Outcomes",0.9990000128746033,Cardiology and Cardiovascular Medicine,Medicine,Health Sciences
W2096998881,T11473,Appendicitis Diagnosis and Management,0.9873999953269958,Emergency Medicine,Medicine,Health Sciences
W2096998881,T10518,Gallbladder and Bile Duct Disorders,0.9869999885559082,Pulmonary and Respiratory Medicine,Medicine,Health Sciences
W2111301002,T11124,Protein purification and stability,0.9397000074386597,Molecular Biology,"Biochemistry, Genetics and Molecular Biology",Life Sciences
W2111301002,T10412,Microfluidic and Capillary Electrophoresis Applications,0.9261000156402588,Biomedical Engineering,Engineering,Physical Sciences
W2111301002,T10519,Advanced Proteomics Techniques and Applications,0.9042999744415283,Spectroscopy,Chemistry,Physical Sciences
W1983649348,T10212,Electrochemical sensors and biosensors,0.3231000006198883,Electrical and Electronic Engineering,Engineering,Physical Sciences
W1983649348,T12327,Various Chemistry Research Topics,0.3077000081539154,Physical and Theoretical Chemistry,Chemistry,Physical Sciences
W1983649348,T11434,Electrochemical Analysis and Applications,0.2935999929904938,Electrochemistry,Chemistry,Physical Sciences
W2011303397,T13377,Ecosystem dynamics and resilience,0.9958000183105469,Global and Planetary Change,Environmental Science,Physical Sciences
W2011303397,T12643,Sustainability and Ecological Systems Analysis,0.9872999787330627,Environmental Engineering,Environmental Science,Physical Sciences
W2011303397,T10005,Ecology and Vegetation Dynamics Studies,0.9850999712944031,Nature and Landscape Conservation,Environmental Science,Physical Sciences
W2130354913,T11239,Social Capital and Networks,0.9983999729156494,Sociology and Political Science,Social Sciences,Social Sciences
W2130354913,T11645,"Urban, Neighborhood, and Segregation Studies",0.9902999997138977,Sociology and Political Science,Social Sciences,Social Sciences
W2130354913,T12892,Social Power and Status Dynamics,0.9886999726295471,Sociology and Political Science,Social Sciences,Social Sciences
W2108718991,T11791,Microbial Community Ecology and Physiology,0.9998999834060669,Ecology,Environmental Science,Physical Sciences
W2108718991,T10015,Genomics and Phylogenetic Studies,0.998199999332428,Molecular Biology,"Biochemistry, Genetics and Molecular Biology",Life Sciences
W2108718991,T10066,Gut microbiota and health,0.9929999709129333,Molecular Biology,"Biochemistry, Genetics and Molecular Biology",Life Sciences
W2152885278,T10015,Genomics and Phylogenetic Studies,0.9998000264167786,Molecular Biology,"Biochemistry, Genetics and Molecular Biology",Life Sciences
W2152885278,T11791,Microbial Community Ecology and Physiology,0.9965000152587891,Ecology,Environmental Science,Physical Sciences
W2152885278,T10066,Gut microbiota and health,0.9695000052452087,Molecular Biology,"Biochemistry, Genetics and Molecular Biology",Life Sciences
W2089876099,T12727,Differential Equations and Numerical Methods,0.3086000084877014,Numerical Analysis,Mathematics,Physical Sciences
W2112778345,T11083,Cardiac Health and Mental Health,0.9894000291824341,Cardiology and Cardiovascular Medicine,Medicine,Health Sciences
W2112778345,T10853,"Anxiety, Depression, Psychometrics, Treatment, Cognitive Processes",0.9886000156402588,Experimental and Cognitive Psychology,Psychology,Social Sciences
W2112778345,T10023,Schizophrenia research and treatment,0.9836999773979187,Psychiatry and Mental health,Medicine,Health Sciences
W2006370393,T11481,Sulfur Compounds in Biology,0.9886999726295471,Biochemistry,"Biochemistry, Genetics and Molecular Biology",Life Sciences
W2006370393,T12381,Electron Spin Resonance Studies,0.9010999798774719,Biophysics,"Biochemistry, Genetics and Molecular Biology",Life Sciences
W2118826874,T13283,Mental Health Research Topics,0.9955000281333923,Experimental and Cognitive Psychology,Psychology,Social Sciences
W2118826874,T10023,Schizophrenia research and treatment,0.9830999970436096,Psychiatry and Mental health,Medicine,Health Sciences
W2118826874,T11071,Treatment of Major Depression,0.9789999723434448,Pharmacology,Medicine,Health Sciences
W2067495470,T13283,Mental Health Research Topics,0.7121999859809875,Experimental and Cognitive Psychology,Psychology,Social Sciences
W2067495470,T10272,Mental Health Treatment and Access,0.659600019454956,Social Psychology,Psychology,Social Sciences
W2067495470,T11334,Psychosomatic Disorders and Their Treatments,0.6097999811172485,Psychiatry and Mental health,Medicine,Health Sciences
W2043705607,T10853,"Anxiety, Depression, Psychometrics, Treatment, Cognitive Processes",1.0,Experimental and Cognitive Psychology,Psychology,Social Sciences
W2043705607,T10182,Child and Adolescent Psychosocial and Emotional Development,0.9984999895095825,Clinical Psychology,Psychology,Social Sciences
W2043705607,T13283,Mental Health Research Topics,0.9833999872207642,Experimental and Cognitive Psychology,Psychology,Social Sciences
W2152348310,T10200,Rheumatoid Arthritis Research and Therapies,0.9995999932289124,Rheumatology,Medicine,Health Sciences
W2152348310,T10308,Systemic Lupus Erythematosus Research,0.9973000288009644,Rheumatology,Medicine,Health Sciences
W2152348310,T12800,Musculoskeletal synovial abnormalities and treatments,0.9883000254631042,Rheumatology,Medicine,Health Sciences
W1485283179,T14128,Metallurgical and Alloy Processes,0.714900016784668,General Materials Science,Materials Science,Physical Sciences
W1485283179,T12202,nanoparticles nucleation surface interactions,0.6777999997138977,Atmospheric Science,Earth and Planetary Sciences,Physical Sciences
W1485283179,T11087,Solidification and crystal growth phenomena,0.6665999889373779,Materials Chemistry,Materials Science,Physical Sciences
