id,name,issn_l,issn,type,is_oa,is_in_doaj,host_organization,host_organization_name
S90511721,Cladistics,0748-3007,"0748-3007, 1096-0031",journal,0,0,https://openalex.org/P4310320595,Wiley
S4306467859,Clarendon Press eBooks,,,ebook platform,0,0,https://openalex.org/P4310320685,Clarendon Press
S4210217276,Classics in mathematics,1431-0821,"1431-0821, 2512-5257",book series,0,0,https://openalex.org/P4310319965,Springer Nature
S139212996,Clinical Chemistry,0009-9147,"0009-9147, 1530-8561",journal,0,0,https://openalex.org/P4310320272,American Association for Clinical Chemistry
S103482838,Communications of the ACM,0001-0782,"0001-0782, 1557-7317",journal,0,0,https://openalex.org/P4310319798,Association for Computing Machinery
S26018076,Computational Materials Science,0927-0256,"0927-0256, 1879-0801",journal,0,0,https://openalex.org/P4310320990,Elsevier BV
S63392143,Computer Networks,1389-1286,"1389-1286, 1872-7069",journal,0,0,https://openalex.org/P4310320990,Elsevier BV
S3084184,Computer Networks and ISDN Systems,0169-7552,"0169-7552, 1879-2324",journal,0,0,https://openalex.org/P4310320990,Elsevier BV
S60115552,Computers Environment and Urban Systems,0198-9715,"0198-9715, 1873-7587",journal,0,0,https://openalex.org/P4310320990,Elsevier BV
S107923245,Computing in Science & Engineering,1521-9615,"1521-9615, 1558-366X",journal,0,0,https://openalex.org/P4310320061,AIP Publishing
S64506217,Contemporary Educational Psychology,0361-476X,"0361-476X, 1090-2384",journal,0,0,https://openalex.org/P4310320990,Elsevier BV
S4789869,Contemporary Sociology A Journal of Reviews,0094-3061,"0094-3061, 1939-8638",journal,0,0,https://openalex.org/P4310320017,SAGE Publishing
S84962792,Controlled Clinical Trials,0197-2456,"0197-2456, 1879-050X",journal,0,0,https://openalex.org/P4310320990,Elsevier BV
S36838616,Cytotherapy,1465-3249,"1465-3249, 1477-2566",journal,0,0,https://openalex.org/P4310320990,Elsevier BV
S7407052059,Dagstuhl Research Online Publication Server,,,repository,0,0,,
S121920818,Data Mining and Knowledge Discovery,1384-5810,"1384-5810, 1573-756X",journal,0,0,https://openalex.org/P4310319900,Springer Science+Business Media
S4406923043,Defense Technical Information Center (DTIC),,,repository,0,0,,
S2764877394,Dementia and Geriatric Cognitive Disorders Extra,1664-5464,1664-5464,journal,1,1,https://openalex.org/P4310317820,Karger Publishers
S104375418,Diabetologia,0012-186X,"0012-186X, 1432-0428",journal,0,0,https://openalex.org/P4310319900,Springer Science+Business Media
S4377196569,DROPS (Schloss Dagstuhl – Leibniz Center for Informatics),,,repository,0,0,https://openalex.org/I2799853480,Schloss Dagstuhl – Leibniz Center for Informatics
S4377196388,DSPACE System - Metalibrary (University of the Coast),,,repository,0,0,https://openalex.org/I4210112678,University of the Coast
S88315673,Ecological Modelling,0304-3800,"0304-3800, 1872-7026",journal,0,0,https://openalex.org/P4310320990,Elsevier BV
S35917800,Ecology,0012-9658,"0012-9658, 1939-9170",journal,0,0,https://openalex.org/P4310320595,Wiley
S95464858,Econometrica,0012-9682,"0012-9682, 1468-0262",journal,0,0,https://openalex.org/P4310320595,Wiley
S108845946,Economica,0013-0427,"0013-0427, 1468-0335",journal,0,0,https://openalex.org/P4310320595,Wiley
S176831015,Educational and Psychological Measurement,0013-1644,"0013-1644, 1552-3888",journal,0,0,https://openalex.org/P4310320017,SAGE Publishing
S55175622,Educational Researcher,0013-189X,"0013-189X, 1935-102X",journal,0,0,https://openalex.org/P4310320017,SAGE Publishing
S134335455,Eighteenth-Century Studies,0013-2586,"0013-2586, 1086-315X",journal,0,0,https://openalex.org/P4310315678,Johns Hopkins University Press
S4306463230,Elsevier eBooks,,,ebook platform,0,0,https://openalex.org/P4310320990,Elsevier BV
S2914327366,EMBnet journal,2226-6089,2226-6089,journal,0,0,,
S4210235606,ENLIGHTEN (Jurnal Bimbingan dan Konseling Islam),2622-8912,"2622-8912, 2622-8920",journal,1,1,,
S4306400115,eScholarship (California Digital Library),,,repository,0,0,https://openalex.org/I2801248553,California Digital Library
S94775995,European Business Review,0955-534X,"0955-534X, 1758-7107",journal,0,0,https://openalex.org/P4310319811,Emerald Publishing Limited
S16731738,European Journal of Cancer,0959-8049,"0959-8049, 1879-0852",journal,0,0,https://openalex.org/P4310320990,Elsevier BV
S48690275,European Journal of Epidemiology,0393-2990,"0393-2990, 1573-7284",journal,0,0,https://openalex.org/P4310319900,Springer Science+Business Media
S103321696,European Journal of Operational Research,0377-2217,"0377-2217, 1872-6860",journal,0,0,https://openalex.org/P4310320990,Elsevier BV
S4210207896,European Respiratory Journal,0903-1936,"0903-1936, 1399-3003",journal,0,0,https://openalex.org/P4310317833,European Respiratory Society
S17192686,Evaluation & Research in Education,0950-0790,"0950-0790, 1747-7514",journal,0,0,https://openalex.org/P4310319847,Routledge
S87560609,Evolution,0014-3820,"0014-3820, 1558-5646",journal,0,0,https://openalex.org/P4310311648,Oxford University Press
S47042909,Feminist Review,0141-7789,"0141-7789, 1466-4380",journal,0,0,https://openalex.org/P4310320017,SAGE Publishing
S192660949,Feminist Studies,0046-3663,"0046-3663, 2153-3873",journal,0,0,https://openalex.org/P4360969297,Feminist Studies
S83253694,Field Methods,1525-822X,"1525-822X, 1552-3969",journal,0,0,https://openalex.org/P4310320017,SAGE Publishing
S4210188176,Foundations and Trends® in Machine Learning,1935-8237,"1935-8237, 1935-8245",journal,0,0,https://openalex.org/P4310318575,Now Publishers
S128018148,Free Radical Biology and Medicine,0891-5849,"0891-5849, 1873-4596",journal,0,0,https://openalex.org/P4310320990,Elsevier BV
S169411308,Fuzzy Sets and Systems,0165-0114,"0165-0114, 1872-6801",journal,0,0,https://openalex.org/P4310320990,Elsevier BV
S3961818,General Pharmacology The Vascular System,0306-3623,"0306-3623, 1879-0011",journal,0,0,https://openalex.org/P4310320990,Elsevier BV
S65932378,Genetics,0016-6731,"0016-6731, 1943-2631",journal,0,0,https://openalex.org/P4310311648,Oxford University Press
S187186932,Genetics in Medicine,1098-3600,"1098-3600, 1530-0366",journal,0,0,https://openalex.org/P4310320990,Elsevier BV
S81160022,Genome biology,1474-7596,"1474-7596, 1474-760X",journal,1,1,https://openalex.org/P4310320256,BioMed Central
S29311329,Geological Society London Special Publications,0305-8719,"0305-8719, 2041-4927",journal,0,0,https://openalex.org/P4310311650,Geological Society of London
S190989491,Gerontology,0304-324X,"0304-324X, 1423-0003",journal,0,0,https://openalex.org/P4310317820,Karger Publishers
S170199316,Géotechnique,0016-8505,"0016-8505, 1751-7656",journal,0,0,https://openalex.org/P4310311678,ICE Publishing
S129458801,Harvard Educational Review,0017-8055,"0017-8055, 1943-5045",journal,0,0,https://openalex.org/P4310315711,Harvard University Press
S4306463363,Harvard University Press eBooks,,,ebook platform,0,0,https://openalex.org/P4310315711,Harvard University Press
S4210209709,Health Policy,0168-8510,"0168-8510, 1872-6054",journal,0,0,https://openalex.org/P4310320990,Elsevier BV
S176903982,Health Promotion Practice,1524-8399,"1524-8399, 1552-6372",journal,0,0,https://openalex.org/P4310320017,SAGE Publishing
S61446109,Human Relations,0018-7267,"0018-7267, 1741-282X",journal,0,0,https://openalex.org/P4310320017,SAGE Publishing
S184954342,IEEE Transactions on Automatic Control,0018-9286,"0018-9286, 1558-2523, 2334-3303",journal,0,0,https://openalex.org/P4310319808,Institute of Electrical and Electronics Engineers
S93787993,IEEE Transactions on Evolutionary Computation,1089-778X,"1089-778X, 1941-0026",journal,0,0,https://openalex.org/P4310319808,Institute of Electrical and Electronics Engineers
S4210173141,IEEE Transactions on Image Processing,1057-7149,"1057-7149, 1941-0042",journal,0,0,https://openalex.org/P4310319808,Institute of Electrical and Electronics Engineers
S4502562,IEEE Transactions on Information Theory,0018-9448,"0018-9448, 1557-9654",journal,0,0,https://openalex.org/P4310319808,Institute of Electrical and Electronics Engineers
S30698027,IEEE Transactions on Knowledge and Data Engineering,1041-4347,"1041-4347, 1558-2191, 2326-3865",journal,0,0,https://openalex.org/P4310320439,IEEE Computer Society
S42080949,IEEE Transactions on Neural Networks,1045-9227,"1045-9227, 1941-0093",journal,0,0,https://openalex.org/P4310319808,Institute of Electrical and Electronics Engineers
S199944782,IEEE Transactions on Pattern Analysis and Machine Intelligence,0162-8828,"0162-8828, 1939-3539, 2160-9292",journal,0,0,https://openalex.org/P4310320439,IEEE Computer Society
S76152103,IEEE Transactions on Systems Man and Cybernetics,0018-9472,"0018-9472, 2168-2909",journal,0,0,https://openalex.org/P4310319808,Institute of Electrical and Electronics Engineers
S166948985,Industrial Robot the international journal of robotics research and application,0143-991X,"0143-991X, 1758-5791",journal,0,0,https://openalex.org/P4310319811,Emerald Publishing Limited
S4210192454,Information and Control,0019-9958,"0019-9958, 1878-2981",journal,0,0,https://openalex.org/P4310319955,Academic Press
S4210208459,Integrative Medicine International,2296-7362,"2296-7362, 2296-7389",journal,1,0,https://openalex.org/P4310317820,Karger Publishers
S4306401748,Intellectum (Universidad de La Sabana),,,repository,0,0,https://openalex.org/I157650460,Universidad de La Sabana
S74917805,International Journal for Quality in Health Care,1353-4505,"1353-4505, 1464-3677",journal,0,0,https://openalex.org/P4310311648,Oxford University Press
S5382288,International Journal of Cancer,0020-7136,"0020-7136, 1097-0215",journal,0,0,https://openalex.org/P4310320595,Wiley
S32061424,International Journal of Climatology,0899-8418,"0899-8418, 1097-0088",journal,0,0,https://openalex.org/P4310320595,Wiley
S25538012,International Journal of Computer Vision,0920-5691,"0920-5691, 1573-1405",journal,0,0,https://openalex.org/P4310319900,Springer Science+Business Media
S39841227,International Journal of Forecasting,0169-2070,"0169-2070, 1872-8200",journal,0,0,https://openalex.org/P4310320990,Elsevier BV
S189354248,International Journal of Information Management,0268-4012,"0268-4012, 1873-4707",journal,0,0,https://openalex.org/P4310320990,Elsevier BV
S174538591,International Journal of Intercultural Relations,0147-1767,"0147-1767, 1873-7552",journal,0,0,https://openalex.org/P4310320990,Elsevier BV
S114106686,International Journal of Research & Method in Education,1743-727X,"1743-727X, 1743-7288",journal,0,0,https://openalex.org/P4310319847,Routledge
S125130336,International Journal of Social Research Methodology,1364-5579,"1364-5579, 1464-5300",journal,0,0,https://openalex.org/P4310320547,Taylor & Francis
S90857023,International Migration Review,0197-9183,"0197-9183, 1747-7379",journal,0,0,https://openalex.org/P4310320017,SAGE Publishing
S172573765,JAMA,0098-7484,"0098-7484, 1538-3598",journal,0,0,https://openalex.org/P4310320259,American Medical Association
S98010888,JNCI Journal of the National Cancer Institute,0027-8874,"0027-8874, 1460-2105",journal,0,0,https://openalex.org/P4310311648,Oxford University Press
S4306463499,Johns Hopkins University Press eBooks,,,ebook platform,0,0,https://openalex.org/P4310315678,Johns Hopkins University Press
S207420867,Journal for the Scientific Study of Religion,0021-8294,"0021-8294, 1468-5906",journal,0,0,https://openalex.org/P4310320595,Wiley
S137832324,Journal of Advanced Nursing,0309-2402,"0309-2402, 1365-2648",journal,0,0,https://openalex.org/P4310320595,Wiley
S26308392,Journal of Aesthetics and Art Criticism,0021-8529,"0021-8529, 1540-6245",journal,0,0,https://openalex.org/P4310311648,Oxford University Press
S2755299131,Journal of AOAC INTERNATIONAL,0004-5756,0004-5756,journal,0,0,https://openalex.org/P4310311648,Oxford University Press
S79162954,Journal of Applied Crystallography,0021-8898,"0021-8898, 1600-5767",journal,0,0,https://openalex.org/P4310320595,Wiley
S85739584,Journal of Applied Econometrics,0883-7252,"0883-7252, 1099-1255",journal,0,0,https://openalex.org/P4310320595,Wiley
S187991544,Journal of Applied Physics,0021-8979,"0021-8979, 1089-7550, 1520-8850",journal,0,0,https://openalex.org/P4310320257,American Institute of Physics
S166002381,Journal of Applied Psychology,0021-9010,"0021-9010, 1939-1854",journal,0,0,https://openalex.org/P4310320262,American Psychological Association
S139930977,Journal of Artificial Intelligence Research,1076-9757,"1076-9757, 1943-5037",journal,1,1,https://openalex.org/P4310315760,AI Access Foundation
S2764422239,Journal of Basic Engineering,0021-9223,0021-9223,journal,0,0,https://openalex.org/P4310321320,American Society of Mechanical Engineers
S140251998,Journal of Biological Chemistry,0021-9258,"0021-9258, 1067-8816, 1083-351X",journal,0,1,https://openalex.org/P4310320990,Elsevier BV
S11622463,Journal of Biomedical Informatics,1532-0464,"1532-0464, 1532-0480",journal,0,0,https://openalex.org/P4310320990,Elsevier BV
S181390377,Journal of Biomolecular NMR,0925-2738,"0925-2738, 1573-5001",journal,0,0,https://openalex.org/P4310319900,Springer Science+Business Media
S189701308,Journal of Chemical Theory and Computation,1549-9618,"1549-9618, 1549-9626",journal,0,0,https://openalex.org/P4310320006,American Chemical Society
S67905653,Journal of Chiropractic Medicine,1556-3707,"1556-3707, 1556-3715",journal,0,0,https://openalex.org/P4310320990,Elsevier BV
S69091592,Journal of Chronic Diseases,0021-9681,"0021-9681, 1878-0679",journal,0,0,https://openalex.org/P4310320146,Pergamon Press
S64418186,Journal of Clinical Epidemiology,0895-4356,"0895-4356, 1878-5921",journal,0,0,https://openalex.org/P4310320990,Elsevier BV
S18971317,Journal of Cognitive Psychotherapy,0889-8391,"0889-8391, 1938-887X",journal,0,0,https://openalex.org/P4310319965,Springer Nature
S165473669,Journal of Computational and Applied Mathematics,0377-0427,"0377-0427, 1879-1778",journal,0,0,https://openalex.org/P4310320990,Elsevier BV
S78571599,Journal of Computational Biology,1066-5277,"1066-5277, 1557-8666",journal,0,0,https://openalex.org/P4310320443,"Mary Ann Liebert, Inc."
S21117631,Journal of Computational Chemistry,0192-8651,"0192-8651, 1096-987X",journal,0,0,https://openalex.org/P4310320595,Wiley
S148709879,Journal of Computational Physics,0021-9991,"0021-9991, 1090-2716",journal,0,0,https://openalex.org/P4310320990,Elsevier BV
S141020589,Journal of Computer and System Sciences,0022-0000,"0022-0000, 1090-2724",journal,0,0,https://openalex.org/P4310320990,Elsevier BV
S30594836,Journal of Computer-Mediated Communication,1083-6101,1083-6101,journal,0,1,https://openalex.org/P4310320595,Wiley
S28349394,Journal of Dairy Science,0022-0302,"0022-0302, 1525-3198, 1529-9066",journal,0,1,https://openalex.org/P4310320990,Elsevier BV
S127742747,Journal of Econometrics,0304-4076,"0304-4076, 1872-6895",journal,0,0,https://openalex.org/P4310320990,Elsevier BV
S44585919,Journal of Economic Dynamics and Control,0165-1889,"0165-1889, 1879-1743",journal,0,0,https://openalex.org/P4310320990,Elsevier BV
S146976949,Journal of Economic Entomology,0022-0493,"0022-0493, 1938-291X",journal,0,0,https://openalex.org/P4310311648,Oxford University Press
S158511090,Journal of Electronic Imaging,1017-9909,"1017-9909, 1560-229X",journal,0,0,https://openalex.org/P4310315543,SPIE
S32271328,Journal of Environmental Psychology,0272-4944,"0272-4944, 1522-9610",journal,0,0,https://openalex.org/P4310320990,Elsevier BV
S4210168021,Journal of Experimental Psychology,0022-1015,"0022-1015, 1946-1941",journal,0,0,https://openalex.org/P4310320262,American Psychological Association
S149240962,Journal of Financial Economics,0304-405X,"0304-405X, 1879-2774",journal,0,0,https://openalex.org/P4310320990,Elsevier BV
S116608325,Journal of General Internal Medicine,0884-8734,"0884-8734, 1525-1497",journal,0,0,https://openalex.org/P4310319900,Springer Science+Business Media
S115925768,Journal of Global Optimization,0925-5001,"0925-5001, 1573-2916",journal,0,0,https://openalex.org/P4310319900,Springer Science+Business Media
S122290859,Journal of Health and Social Behavior,0022-1465,"0022-1465, 2150-6000",journal,0,0,https://openalex.org/P4310320017,SAGE Publishing
S55737203,Journal of Hydrology,0022-1694,"0022-1694, 1879-2707",journal,0,0,https://openalex.org/P4310320990,Elsevier BV
S201669150,Journal of Immunological Methods,0022-1759,"0022-1759, 1872-7905",journal,0,0,https://openalex.org/P4310320990,Elsevier BV
S19366293,Journal of Japan Society for Fuzzy Theory and Intelligent Informatics,1347-7986,"1347-7986, 1881-7203",journal,1,0,https://openalex.org/P4362643760,Japan Society for Fuzzy Theory and Intelligent Informatics
S118988714,Journal of Machine Learning Research,1532-4435,"1532-4435, 1533-7928",journal,0,0,https://openalex.org/P4310315718,The MIT Press
S122767448,Journal of Management,0149-2063,"0149-2063, 1557-1211",journal,0,0,https://openalex.org/P4310320017,SAGE Publishing
S142990027,Journal of Marketing,0022-2429,"0022-2429, 1547-7185",journal,0,0,https://openalex.org/P4310320017,SAGE Publishing
S119950638,Journal of Marketing Research,0022-2437,"0022-2437, 1547-7193",journal,0,0,https://openalex.org/P4310320017,SAGE Publishing
