id,type,source,target,year,publication_id,journal_id,person_id,author_position,is_corresponding,sort_order,institution_id,institution_name,raw_affiliation,latitude,longitude,topic_id,topic_name,score,keyword_id,keyword_name
published_in_year:year:1959->publication:W2006370393,published_in_year,year:1959,publication:W2006370393,1959,W2006370393,,,,,,,,,,,,,,,
published_in_year:year:2005->publication:W2118826874,published_in_year,year:2005,publication:W2118826874,2005,W2118826874,,,,,,,,,,,,,,,
published_in_year:year:1961->publication:W2067495470,published_in_year,year:1961,publication:W2067495470,1961,W2067495470,,,,,,,,,,,,,,,
published_in_year:year:2006->publication:W2043705607,published_in_year,year:2006,publication:W2043705607,2006,W2043705607,,,,,,,,,,,,,,,
published_in_year:year:1988->publication:W2152348310,published_in_year,year:1988,publication:W2152348310,1988,W2152348310,,,,,,,,,,,,,,,
published_in_year:year:2016->publication:W1485283179,published_in_year,year:2016,publication:W1485283179,2016,W1485283179,,,,,,,,,,,,,,,
published_in_year:year:2007->publication:W1914972138,published_in_year,year:2007,publication:W1914972138,2007,W1914972138,,,,,,,,,,,,,,,
published_in_year:year:2009->publication:W2072500831,published_in_year,year:2009,publication:W2072500831,2009,W2072500831,,,,,,,,,,,,,,,
published_in_year:year:2008->publication:W2038702827,published_in_year,year:2008,publication:W2038702827,2008,W2038702827,,,,,,,,,,,,,,,
published_in_year:year:2007->publication:W2087484885,published_in_year,year:2007,publication:W2087484885,2007,W2087484885,,,,,,,,,,,,,,,
published_in_year:year:2004->publication:W1995031937,published_in_year,year:2004,publication:W1995031937,2004,W1995031937,,,,,,,,,,,,,,,
published_in_year:year:1985->publication:W2212401464,published_in_year,year:1985,publication:W2212401464,1985,W2212401464,,,,,,,,,,,,,,,
published_in_year:year:1948->publication:W1995875735,published_in_year,year:1948,publication:W1995875735,1948,W1995875735,,,,,,,,,,,,,,,
published_in_year:year:2012->publication:W4294214983,published_in_year,year:2012,publication:W4294214983,2012,W4294214983,,,,,,,,,,,,,,,
published_in_year:year:1983->publication:W1513717105,published_in_year,year:1983,publication:W1513717105,1983,W1513717105,,,,,,,,,,,,,,,
published_in_year:year:1961->publication:W1971048984,published_in_year,year:1961,publication:W1971048984,1961,W1971048984,,,,,,,,,,,,,,,
published_in_year:year:1979->publication:W2060333964,published_in_year,year:1979,publication:W2060333964,1979,W2060333964,,,,,,,,,,,,,,,
published_in_year:year:2018->publication:W2951912016,published_in_year,year:2018,publication:W2951912016,2018,W2951912016,,,,,,,,,,,,,,,
published_in_year:year:2018->publication:W2789843538,published_in_year,year:2018,publication:W2789843538,2018,W2789843538,,,,,,,,,,,,,,,
published_in_year:year:2014->publication:W2134526812,published_in_year,year:2014,publication:W2134526812,2014,W2134526812,,,,,,,,,,,,,,,
published_in_year:year:2014->publication:W2096093282,published_in_year,year:2014,publication:W2096093282,2014,W2096093282,,,,,,,,,,,,,,,
published_in_year:year:2014->publication:W2141052558,published_in_year,year:2014,publication:W2141052558,2014,W2141052558,,,,,,,,,,,,,,,
published_in_year:year:2014->publication:W2131271579,published_in_year,year:2014,publication:W2131271579,2014,W2131271579,,,,,,,,,,,,,,,
published_in_year:year:2013->publication:W2138207763,published_in_year,year:2013,publication:W2138207763,2013,W2138207763,,,,,,,,,,,,,,,
published_in_year:year:2012->publication:W2128880918,published_in_year,year:2012,publication:W2128880918,2012,W2128880918,,,,,,,,,,,,,,,
published_in_year:year:2012->publication:W2169456326,published_in_year,year:2012,publication:W2169456326,2012,W2169456326,,,,,,,,,,,,,,,
published_in_year:year:2011->publication:W2149992227,published_in_year,year:2011,publication:W2149992227,2011,W2149992227,,,,,,,,,,,,,,,
published_in_year:year:2010->publication:W2102619694,published_in_year,year:2010,publication:W2102619694,2010,W2102619694,,,,,,,,,,,,,,,
published_in_year:year:2010->publication:W2124351063,published_in_year,year:2010,publication:W2124351063,2010,W2124351063,,,,,,,,,,,,,,,
published_in_year:year:2009->publication:W2114104545,published_in_year,year:2009,publication:W2114104545,2009,W2114104545,,,,,,,,,,,,,,,
published_in_year:year:2009->publication:W2154845780,published_in_year,year:2009,publication:W2154845780,2009,W2154845780,,,,,,,,,,,,,,,
published_in_year:year:2009->publication:W2103441770,published_in_year,year:2009,publication:W2103441770,2009,W2103441770,,,,,,,,,,,,,,,
published_in_year:year:2009->publication:W2108234281,published_in_year,year:2009,publication:W2108234281,2009,W2108234281,,,,,,,,,,,,,,,
published_in_year:year:2007->publication:W2137015675,published_in_year,year:2007,publication:W2137015675,2007,W2137015675,,,,,,,,,,,,,,,
published_in_year:year:2006->publication:W2168696662,published_in_year,year:2006,publication:W2168696662,2006,W2168696662,,,,,,,,,,,,,,,
published_in_year:year:2003->publication:W2146058063,published_in_year,year:2003,publication:W2146058063,2003,W2146058063,,,,,,,,,,,,,,,
published_in_year:year:2001->publication:W2161444534,published_in_year,year:2001,publication:W2161444534,2001,W2161444534,,,,,,,,,,,,,,,
published_in_year:year:1998->publication:W2082928585,published_in_year,year:1998,publication:W2082928585,1998,W2082928585,,,,,,,,,,,,,,,
published_in_year:year:1994->publication:W1964435302,published_in_year,year:1994,publication:W1964435302,1994,W1964435302,,,,,,,,,,,,,,,
published_in_year:year:1988->publication:W2328176404,published_in_year,year:1988,publication:W2328176404,1988,W2328176404,,,,,,,,,,,,,,,
published_in_year:year:1984->publication:W1594031697,published_in_year,year:1984,publication:W1594031697,1984,W1594031697,,,,,,,,,,,,,,,
published_in_year:year:1982->publication:W2141088880,published_in_year,year:1982,publication:W2141088880,1982,W2141088880,,,,,,,,,,,,,,,
published_in_year:year:1977->publication:W2164777277,published_in_year,year:1977,publication:W2164777277,1977,W2164777277,,,,,,,,,,,,,,,
published_in_year:year:1955->publication:W2092713296,published_in_year,year:1955,publication:W2092713296,1955,W2092713296,,,,,,,,,,,,,,,
published_in_year:year:1988->publication:W2097580026,published_in_year,year:1988,publication:W2097580026,1988,W2097580026,,,,,,,,,,,,,,,
published_in_year:year:1986->publication:W2149860264,published_in_year,year:1986,publication:W2149860264,1986,W2149860264,,,,,,,,,,,,,,,
published_in_year:year:1983->publication:W2150291618,published_in_year,year:1983,publication:W2150291618,1983,W2150291618,,,,,,,,,,,,,,,
published_in_year:year:1965->publication:W2168745915,published_in_year,year:1965,publication:W2168745915,1965,W2168745915,,,,,,,,,,,,,,,
published_in_year:year:1983->publication:W2008708467,published_in_year,year:1983,publication:W2008708467,1983,W2008708467,,,,,,,,,,,,,,,
published_in_year:year:2013->publication:W2159707944,published_in_year,year:2013,publication:W2159707944,2013,W2159707944,,,,,,,,,,,,,,,
published_in_year:year:2011->publication:W1999574084,published_in_year,year:2011,publication:W1999574084,2011,W1999574084,,,,,,,,,,,,,,,
published_in_year:year:2009->publication:W2142678478,published_in_year,year:2009,publication:W2142678478,2009,W2142678478,,,,,,,,,,,,,,,
published_in_year:year:2008->publication:W1966327575,published_in_year,year:2008,publication:W1966327575,2008,W1966327575,,,,,,,,,,,,,,,
published_in_year:year:2021->publication:W3118615836,published_in_year,year:2021,publication:W3118615836,2021,W3118615836,,,,,,,,,,,,,,,
published_in_year:year:2019->publication:W2970684805,published_in_year,year:2019,publication:W2970684805,2019,W2970684805,,,,,,,,,,,,,,,
published_in_year:year:2016->publication:W2531269403,published_in_year,year:2016,publication:W2531269403,2016,W2531269403,,,,,,,,,,,,,,,
published_in_year:year:2011->publication:W2098923148,published_in_year,year:2011,publication:W2098923148,2011,W2098923148,,,,,,,,,,,,,,,
published_in_year:year:2009->publication:W2156098321,published_in_year,year:2009,publication:W2156098321,2009,W2156098321,,,,,,,,,,,,,,,
published_in_year:year:2009->publication:W2134833483,published_in_year,year:2009,publication:W2134833483,2009,W2134833483,,,,,,,,,,,,,,,
published_in_year:year:2008->publication:W2165010366,published_in_year,year:2008,publication:W2165010366,2008,W2165010366,,,,,,,,,,,,,,,
published_in_year:year:2003->publication:W2125435699,published_in_year,year:2003,publication:W2125435699,2003,W2125435699,,,,,,,,,,,,,,,
published_in_year:year:2000->publication:W2104129218,published_in_year,year:2000,publication:W2104129218,2000,W2104129218,,,,,,,,,,,,,,,
published_in_year:year:1997->publication:W2157823046,published_in_year,year:1997,publication:W2157823046,1997,W2157823046,,,,,,,,,,,,,,,
published_in_year:year:1996->publication:W2106952837,published_in_year,year:1996,publication:W2106952837,1996,W2106952837,,,,,,,,,,,,,,,
published_in_year:year:2012->publication:W2121960517,published_in_year,year:2012,publication:W2121960517,2012,W2121960517,,,,,,,,,,,,,,,
published_in_year:year:2016->publication:W2560367415,published_in_year,year:2016,publication:W2560367415,2016,W2560367415,,,,,,,,,,,,,,,
published_in_year:year:1972->publication:W2052853635,published_in_year,year:1972,publication:W2052853635,1972,W2052853635,,,,,,,,,,,,,,,
published_in_year:year:1994->publication:W2033952602,published_in_year,year:1994,publication:W2033952602,1994,W2033952602,,,,,,,,,,,,,,,
published_in_year:year:1943->publication:W1995341919,published_in_year,year:1943,publication:W1995341919,1943,W1995341919,,,,,,,,,,,,,,,
published_in_year:year:1996->publication:W2173251738,published_in_year,year:1996,publication:W2173251738,1996,W2173251738,,,,,,,,,,,,,,,
published_in_year:year:2009->publication:W2121001699,published_in_year,year:2009,publication:W2121001699,2009,W2121001699,,,,,,,,,,,,,,,
published_in_year:year:2024->publication:W4393935425,published_in_year,year:2024,publication:W4393935425,2024,W4393935425,,,,,,,,,,,,,,,
published_in_year:year:2023->publication:W4315754639,published_in_year,year:2023,publication:W4315754639,2023,W4315754639,,,,,,,,,,,,,,,
published_in_year:year:2022->publication:W4206841660,published_in_year,year:2022,publication:W4206841660,2022,W4206841660,,,,,,,,,,,,,,,
published_in_year:year:2021->publication:W3119005666,published_in_year,year:2021,publication:W3119005666,2021,W3119005666,,,,,,,,,,,,,,,
published_in_year:year:2021->publication:W3128646645,published_in_year,year:2021,publication:W3128646645,2021,W3128646645,,,,,,,,,,,,,,,
published_in_year:year:2020->publication:W2999417355,published_in_year,year:2020,publication:W2999417355,2020,W2999417355,,,,,,,,,,,,,,,
published_in_year:year:2019->publication:W2911188335,published_in_year,year:2019,publication:W2911188335,2019,W2911188335,,,,,,,,,,,,,,,
published_in_year:year:2018->publication:W2781525129,published_in_year,year:2018,publication:W2781525129,2018,W2781525129,,,,,,,,,,,,,,,
published_in_year:year:2018->publication:W2889646458,published_in_year,year:2018,publication:W2889646458,2018,W2889646458,,,,,,,,,,,,,,,
published_in_year:year:2016->publication:W2272984102,published_in_year,year:2016,publication:W2272984102,2016,W2272984102,,,,,,,,,,,,,,,
published_in_year:year:2016->publication:W2235523093,published_in_year,year:2016,publication:W2235523093,2016,W2235523093,,,,,,,,,,,,,,,
published_in_year:year:2015->publication:W2917837889,published_in_year,year:2015,publication:W2917837889,2015,W2917837889,,,,,,,,,,,,,,,
published_in_year:year:2011->publication:W2106787323,published_in_year,year:2011,publication:W2106787323,2011,W2106787323,,,,,,,,,,,,,,,
published_in_year:year:2005->publication:W2020830322,published_in_year,year:2005,publication:W2020830322,2005,W2020830322,,,,,,,,,,,,,,,
published_in_year:year:2014->publication:W4300009529,published_in_year,year:2014,publication:W4300009529,2014,W4300009529,,,,,,,,,,,,,,,
published_in_year:year:2004->publication:W2296319761,published_in_year,year:2004,publication:W2296319761,2004,W2296319761,,,,,,,,,,,,,,,
published_in_year:year:2004->publication:W2033819227,published_in_year,year:2004,publication:W2033819227,2004,W2033819227,,,,,,,,,,,,,,,
published_in_year:year:1999->publication:W1666853924,published_in_year,year:1999,publication:W1666853924,1999,W1666853924,,,,,,,,,,,,,,,
published_in_year:year:1998->publication:W4210702550,published_in_year,year:1998,publication:W4210702550,1998,W4210702550,,,,,,,,,,,,,,,
published_in_year:year:1994->publication:W950821216,published_in_year,year:1994,publication:W950821216,1994,W950821216,,,,,,,,,,,,,,,
published_in_year:year:1991->publication:W4245961435,published_in_year,year:1991,publication:W4245961435,1991,W4245961435,,,,,,,,,,,,,,,
published_in_year:year:1990->publication:W4233654598,published_in_year,year:1990,publication:W4233654598,1990,W4233654598,,,,,,,,,,,,,,,
published_in_year:year:1990->publication:W4298413470,published_in_year,year:1990,publication:W4298413470,1990,W4298413470,,,,,,,,,,,,,,,
published_in_year:year:1988->publication:W2133469585,published_in_year,year:1988,publication:W2133469585,1988,W2133469585,,,,,,,,,,,,,,,
published_in_year:year:1977->publication:W4301056702,published_in_year,year:1977,publication:W4301056702,1977,W4301056702,,,,,,,,,,,,,,,
published_in_year:year:2012->publication:W2118338381,published_in_year,year:2012,publication:W2118338381,2012,W2118338381,,,,,,,,,,,,,,,
published_in_year:year:1959->publication:W2152311269,published_in_year,year:1959,publication:W2152311269,1959,W2152311269,,,,,,,,,,,,,,,
published_in_year:year:1959->publication:W2300552860,published_in_year,year:1959,publication:W2300552860,1959,W2300552860,,,,,,,,,,,,,,,
published_in_year:year:1980->publication:W2038533471,published_in_year,year:1980,publication:W2038533471,1980,W2038533471,,,,,,,,,,,,,,,
published_in_year:year:1998->publication:W1999130958,published_in_year,year:1998,publication:W1999130958,1998,W1999130958,,,,,,,,,,,,,,,
published_in_year:year:2012->publication:W2149441684,published_in_year,year:2012,publication:W2149441684,2012,W2149441684,,,,,,,,,,,,,,,
published_in_year:year:2020->publication:W3009912996,published_in_year,year:2020,publication:W3009912996,2020,W3009912996,,,,,,,,,,,,,,,
published_in_year:year:2019->publication:W2949177718,published_in_year,year:2019,publication:W2949177718,2019,W2949177718,,,,,,,,,,,,,,,
published_in_year:year:2012->publication:W1997183854,published_in_year,year:2012,publication:W1997183854,2012,W1997183854,,,,,,,,,,,,,,,
published_in_year:year:2011->publication:W2117692326,published_in_year,year:2011,publication:W2117692326,2011,W2117692326,,,,,,,,,,,,,,,
published_in_year:year:2009->publication:W2162674813,published_in_year,year:2009,publication:W2162674813,2009,W2162674813,,,,,,,,,,,,,,,
published_in_year:year:2007->publication:W2138977668,published_in_year,year:2007,publication:W2138977668,2007,W2138977668,,,,,,,,,,,,,,,
published_in_year:year:2006->publication:W2125987139,published_in_year,year:2006,publication:W2125987139,2006,W2125987139,,,,,,,,,,,,,,,
published_in_year:year:2004->publication:W144423133,published_in_year,year:2004,publication:W144423133,2004,W144423133,,,,,,,,,,,,,,,
published_in_year:year:2000->publication:W2034269086,published_in_year,year:2000,publication:W2034269086,2000,W2034269086,,,,,,,,,,,,,,,
published_in_year:year:2015->publication:W1523693806,published_in_year,year:2015,publication:W1523693806,2015,W1523693806,,,,,,,,,,,,,,,
published_in_year:year:2013->publication:W2018289835,published_in_year,year:2013,publication:W2018289835,2013,W2018289835,,,,,,,,,,,,,,,
published_in_year:year:1991->publication:W1487127700,published_in_year,year:1991,publication:W1487127700,1991,W1487127700,,,,,,,,,,,,,,,
published_in_year:year:2005->publication:W1997151511,published_in_year,year:2005,publication:W1997151511,2005,W1997151511,,,,,,,,,,,,,,,
published_in_year:year:1995->publication:W2110540540,published_in_year,year:1995,publication:W2110540540,1995,W2110540540,,,,,,,,,,,,,,,
published_in_year:year:1988->publication:W2038767330,published_in_year,year:1988,publication:W2038767330,1988,W2038767330,,,,,,,,,,,,,,,
published_in_year:year:2012->publication:W2140190241,published_in_year,year:2012,publication:W2140190241,2012,W2140190241,,,,,,,,,,,,,,,
published_in_year:year:2007->publication:W1815596065,published_in_year,year:2007,publication:W1815596065,2007,W1815596065,,,,,,,,,,,,,,,
published_in_year:year:2000->publication:W2147264455,published_in_year,year:2000,publication:W2147264455,2000,W2147264455,,,,,,,,,,,,,,,
published_in_year:year:1997->publication:W4293586167,published_in_year,year:1997,publication:W4293586167,1997,W4293586167,,,,,,,,,,,,,,,
published_in_year:year:1995->publication:W2122410182,published_in_year,year:1995,publication:W2122410182,1995,W2122410182,,,,,,,,,,,,,,,
published_in_year:year:1994->publication:W1554663460,published_in_year,year:1994,publication:W1554663460,1994,W1554663460,,,,,,,,,,,,,,,
published_in_year:year:1993->publication:W2432517183,published_in_year,year:1993,publication:W2432517183,1993,W2432517183,,,,,,,,,,,,,,,
published_in_year:year:1992->publication:W2797247465,published_in_year,year:1992,publication:W2797247465,1992,W2797247465,,,,,,,,,,,,,,,
published_in_year:year:1990->publication:W1973948212,published_in_year,year:1990,publication:W1973948212,1990,W1973948212,,,,,,,,,,,,,,,
published_in_year:year:1990->publication:W2153943092,published_in_year,year:1990,publication:W2153943092,1990,W2153943092,,,,,,,,,,,,,,,
published_in_year:year:1990->publication:W1541515907,published_in_year,year:1990,publication:W1541515907,1990,W1541515907,,,,,,,,,,,,,,,
