id,type,journal_id,label,name,issn_l,source_type,host_organization_name
journal:S191963794,journal,S191963794,Analytical Chemistry,Analytical Chemistry,0003-2700,journal,American Chemical Society
journal:S4377196922,journal,S4377196922,Andalas University Repository (Andalas University),Andalas University Repository (Andalas University),,repository,Andalas University
journal:S139806068,journal,S139806068,Annals of Dyslexia,Annals of Dyslexia,0736-9387,journal,Springer Science+Business Media
journal:S119722071,journal,S119722071,Annals of Internal Medicine,Annals of Internal Medicine,0003-4819,journal,American College of Physicians
journal:S157664895,journal,S157664895,Annals of Surgery,Annals of Surgery,0003-4932,journal,Lippincott Williams & Wilkins
journal:S8802318,journal,S8802318,Annals of the New York Academy of Sciences,Annals of the New York Academy of Sciences,0077-8923,journal,Wiley
journal:S4210205963,journal,S4210205963,Annual Review of Ecology and Systematics,Annual Review of Ecology and Systematics,0066-4162,journal,Annual Reviews
journal:S61274580,journal,S61274580,Annual Review of Sociology,Annual Review of Sociology,0360-0572,journal,Annual Reviews
journal:S158228368,journal,S158228368,Applied and Environmental Microbiology,Applied and Environmental Microbiology,0099-2240,journal,American Society for Microbiology
journal:S2764390947,journal,S2764390947,Applied mathematical sciences,Applied mathematical sciences,0066-5452,book series,Springer Nature
journal:S94663699,journal,S94663699,Applied Psychological Measurement,Applied Psychological Measurement,0146-6216,journal,SAGE Publishing
journal:S153476765,journal,S153476765,Archives of Biochemistry and Biophysics,Archives of Biochemistry and Biophysics,0003-9861,journal,Elsevier BV
journal:S126359496,journal,S126359496,Archives of General Psychiatry,Archives of General Psychiatry,0003-990X,journal,American Medical Association
journal:S4210206803,journal,S4210206803,Archives of Internal Medicine,Archives of Internal Medicine,0003-9926,journal,American Medical Association
journal:S132787887,journal,S132787887,Arthritis & Rheumatism,Arthritis & Rheumatism,0004-3591,journal,Wiley
journal:S4306462866,journal,S4306462866,ASM International eBooks,ASM International eBooks,,ebook platform,ASM International
journal:S4210198536,journal,S4210198536,Australian and New Zealand Journal of Public Health,Australian and New Zealand Journal of Public Health,1326-0200,journal,Elsevier BV
journal:S137478622,journal,S137478622,Behavior Research Methods,Behavior Research Methods,1554-351X,journal,Springer Science+Business Media
journal:S192806854,journal,S192806854,"Behavior Research Methods, Instruments, & Computers","Behavior Research Methods, Instruments, & Computers",0743-3808,journal,Springer Science+Business Media
journal:S186589312,journal,S186589312,Behaviour Research and Therapy,Behaviour Research and Therapy,0005-7967,journal,Elsevier BV
journal:S127472826,journal,S127472826,Bell System Technical Journal,Bell System Technical Journal,0005-8580,journal,Institute of Electrical and Electronics Engineers
journal:S185467459,journal,S185467459,Biochemia Medica,Biochemia Medica,1330-0962,journal,Croatian society of medical biochemistry and laboratory medicine
journal:S185596183,journal,S185596183,Biochemical Education,Biochemical Education,0307-4412,journal,Elsevier BV
journal:S185534594,journal,S185534594,Biochemical Pharmacology,Biochemical Pharmacology,0006-2952,journal,Elsevier BV
journal:S104038378,journal,S104038378,Biochemistry,Biochemistry,0006-2960,journal,American Chemical Society
journal:S52395412,journal,S52395412,Bioinformatics,Bioinformatics,1367-4803,journal,Oxford University Press
journal:S8265502,journal,S8265502,Biometrics,Biometrics,0006-341X,journal,Oxford University Press
journal:S172180718,journal,S172180718,Biometrika,Biometrika,0006-3444,journal,Oxford University Press
journal:S56808608,journal,S56808608,Biopolymers,Biopolymers,0006-3525,journal,Wiley
journal:name:biostatistics and microbiology: a survival manual,journal,name:biostatistics and microbiology: a survival manual,Biostatistics and Microbiology: A Survival Manual,Biostatistics and Microbiology: A Survival Manual,,,
journal:S19032547,journal,S19032547,BMC Bioinformatics,BMC Bioinformatics,1471-2105,journal,BioMed Central
journal:S4393917726,journal,S4393917726,BMJ,BMJ,1756-1833,journal,
journal:S192814187,journal,S192814187,BMJ,BMJ,0959-8138,journal,BMJ
journal:S183182149,journal,S183182149,Bone Marrow Transplantation,Bone Marrow Transplantation,0268-3369,journal,Springer Nature
journal:S9986330,journal,S9986330,Breast Care,Breast Care,1661-3791,journal,Karger Publishers
journal:S62966998,journal,S62966998,British Journal of Cancer,British Journal of Cancer,0007-0920,journal,Springer Nature
journal:S93528005,journal,S93528005,British Journal of Educational Studies,British Journal of Educational Studies,0007-1005,journal,Taylor & Francis
journal:S118940690,journal,S118940690,Bulletin of Mathematical Biology,Bulletin of Mathematical Biology,0092-8240,journal,Springer Science+Business Media
journal:S140302479,journal,S140302479,Bulletin of the American Meteorological Society,Bulletin of the American Meteorological Society,0003-0007,journal,American Meteorological Society
journal:S113237667,journal,S113237667,Business Horizons,Business Horizons,0007-6813,journal,Elsevier BV
journal:S126094547,journal,S126094547,CA A Cancer Journal for Clinicians,CA A Cancer Journal for Clinicians,0007-9235,journal,Wiley
journal:S4306462995,journal,S4306462995,Cambridge University Press eBooks,Cambridge University Press eBooks,,ebook platform,Cambridge University Press
journal:S4210189559,journal,S4210189559,Canadian Graduate Journal of Sociology and Criminology,Canadian Graduate Journal of Sociology and Criminology,1927-9825,journal,University of Waterloo
journal:S4210182832,journal,S4210182832,Canadian Journal of Biochemistry and Physiology,Canadian Journal of Biochemistry and Physiology,0576-5544,journal,Canadian Science Publishing
journal:S173335977,journal,S173335977,Canadian Journal of Physics,Canadian Journal of Physics,0008-4204,journal,NRC Research Press
journal:S126033908,journal,S126033908,Cancer,Cancer,0008-543X,journal,Wiley
journal:S2486275289,journal,S2486275289,Cancer Discovery,Cancer Discovery,2159-8274,journal,American Association for Cancer Research
journal:S110447773,journal,S110447773,Cell,Cell,0092-8674,journal,Cell Press
journal:S161399637,journal,S161399637,Cellular Physiology and Biochemistry,Cellular Physiology and Biochemistry,1015-8987,journal,Karger Publishers
journal:S4306402195,journal,S4306402195,CERN Document Server (European Organization for Nuclear Research),CERN Document Server (European Organization for Nuclear Research),,repository,European Organization for Nuclear Research
journal:S41143188,journal,S41143188,Chemical Reviews,Chemical Reviews,0009-2665,journal,American Chemical Society
journal:S2764375719,journal,S2764375719,Choice Reviews Online,Choice Reviews Online,0009-4978,journal,Association of College and Research Libraries
journal:S116251202,journal,S116251202,Circulation,Circulation,0009-7322,journal,Lippincott Williams & Wilkins
journal:S90511721,journal,S90511721,Cladistics,Cladistics,0748-3007,journal,Wiley
journal:S4306467859,journal,S4306467859,Clarendon Press eBooks,Clarendon Press eBooks,,ebook platform,Clarendon Press
journal:S4210217276,journal,S4210217276,Classics in mathematics,Classics in mathematics,1431-0821,book series,Springer Nature
journal:S139212996,journal,S139212996,Clinical Chemistry,Clinical Chemistry,0009-9147,journal,American Association for Clinical Chemistry
journal:S103482838,journal,S103482838,Communications of the ACM,Communications of the ACM,0001-0782,journal,Association for Computing Machinery
journal:S26018076,journal,S26018076,Computational Materials Science,Computational Materials Science,0927-0256,journal,Elsevier BV
journal:S63392143,journal,S63392143,Computer Networks,Computer Networks,1389-1286,journal,Elsevier BV
journal:S3084184,journal,S3084184,Computer Networks and ISDN Systems,Computer Networks and ISDN Systems,0169-7552,journal,Elsevier BV
journal:S60115552,journal,S60115552,Computers Environment and Urban Systems,Computers Environment and Urban Systems,0198-9715,journal,Elsevier BV
journal:S107923245,journal,S107923245,Computing in Science & Engineering,Computing in Science & Engineering,1521-9615,journal,AIP Publishing
journal:S64506217,journal,S64506217,Contemporary Educational Psychology,Contemporary Educational Psychology,0361-476X,journal,Elsevier BV
journal:S4789869,journal,S4789869,Contemporary Sociology A Journal of Reviews,Contemporary Sociology A Journal of Reviews,0094-3061,journal,SAGE Publishing
journal:S84962792,journal,S84962792,Controlled Clinical Trials,Controlled Clinical Trials,0197-2456,journal,Elsevier BV
journal:S36838616,journal,S36838616,Cytotherapy,Cytotherapy,1465-3249,journal,Elsevier BV
journal:S7407052059,journal,S7407052059,Dagstuhl Research Online Publication Server,Dagstuhl Research Online Publication Server,,repository,
journal:S121920818,journal,S121920818,Data Mining and Knowledge Discovery,Data Mining and Knowledge Discovery,1384-5810,journal,Springer Science+Business Media
journal:S4406923043,journal,S4406923043,Defense Technical Information Center (DTIC),Defense Technical Information Center (DTIC),,repository,
journal:S2764877394,journal,S2764877394,Dementia and Geriatric Cognitive Disorders Extra,Dementia and Geriatric Cognitive Disorders Extra,1664-5464,journal,Karger Publishers
journal:S104375418,journal,S104375418,Diabetologia,Diabetologia,0012-186X,journal,Springer Science+Business Media
journal:S4377196569,journal,S4377196569,DROPS (Schloss Dagstuhl – Leibniz Center for Informatics),DROPS (Schloss Dagstuhl – Leibniz Center for Informatics),,repository,Schloss Dagstuhl – Leibniz Center for Informatics
journal:S4377196388,journal,S4377196388,DSPACE System - Metalibrary (University of the Coast),DSPACE System - Metalibrary (University of the Coast),,repository,University of the Coast
journal:S88315673,journal,S88315673,Ecological Modelling,Ecological Modelling,0304-3800,journal,Elsevier BV
journal:S35917800,journal,S35917800,Ecology,Ecology,0012-9658,journal,Wiley
journal:S95464858,journal,S95464858,Econometrica,Econometrica,0012-9682,journal,Wiley
journal:S108845946,journal,S108845946,Economica,Economica,0013-0427,journal,Wiley
journal:S176831015,journal,S176831015,Educational and Psychological Measurement,Educational and Psychological Measurement,0013-1644,journal,SAGE Publishing
journal:S55175622,journal,S55175622,Educational Researcher,Educational Researcher,0013-189X,journal,SAGE Publishing
journal:S134335455,journal,S134335455,Eighteenth-Century Studies,Eighteenth-Century Studies,0013-2586,journal,Johns Hopkins University Press
journal:name:electronics: a first course,journal,name:electronics: a first course,Electronics: A First Course,Electronics: A First Course,,,
journal:S4306463230,journal,S4306463230,Elsevier eBooks,Elsevier eBooks,,ebook platform,Elsevier BV
journal:S2914327366,journal,S2914327366,EMBnet journal,EMBnet journal,2226-6089,journal,
journal:name:encyclopedia of behavioral medicine,journal,name:encyclopedia of behavioral medicine,Encyclopedia of Behavioral Medicine,Encyclopedia of Behavioral Medicine,,,
journal:name:encyclopedia of the sciences of learning,journal,name:encyclopedia of the sciences of learning,Encyclopedia of the Sciences of Learning,Encyclopedia of the Sciences of Learning,,,
journal:S4210235606,journal,S4210235606,ENLIGHTEN (Jurnal Bimbingan dan Konseling Islam),ENLIGHTEN (Jurnal Bimbingan dan Konseling Islam),2622-8912,journal,
journal:S4306400115,journal,S4306400115,eScholarship (California Digital Library),eScholarship (California Digital Library),,repository,California Digital Library
journal:S94775995,journal,S94775995,European Business Review,European Business Review,0955-534X,journal,Emerald Publishing Limited
journal:S16731738,journal,S16731738,European Journal of Cancer,European Journal of Cancer,0959-8049,journal,Elsevier BV
journal:S48690275,journal,S48690275,European Journal of Epidemiology,European Journal of Epidemiology,0393-2990,journal,Springer Science+Business Media
journal:S103321696,journal,S103321696,European Journal of Operational Research,European Journal of Operational Research,0377-2217,journal,Elsevier BV
journal:S4210207896,journal,S4210207896,European Respiratory Journal,European Respiratory Journal,0903-1936,journal,European Respiratory Society
journal:S17192686,journal,S17192686,Evaluation & Research in Education,Evaluation & Research in Education,0950-0790,journal,Routledge
journal:S87560609,journal,S87560609,Evolution,Evolution,0014-3820,journal,Oxford University Press
journal:S47042909,journal,S47042909,Feminist Review,Feminist Review,0141-7789,journal,SAGE Publishing
journal:S192660949,journal,S192660949,Feminist Studies,Feminist Studies,0046-3663,journal,Feminist Studies
journal:S83253694,journal,S83253694,Field Methods,Field Methods,1525-822X,journal,SAGE Publishing
journal:name:food and culture,journal,name:food and culture,Food and Culture,Food and Culture,,,
journal:S4210188176,journal,S4210188176,Foundations and Trends® in Machine Learning,Foundations and Trends® in Machine Learning,1935-8237,journal,Now Publishers
journal:S128018148,journal,S128018148,Free Radical Biology and Medicine,Free Radical Biology and Medicine,0891-5849,journal,Elsevier BV
journal:S169411308,journal,S169411308,Fuzzy Sets and Systems,Fuzzy Sets and Systems,0165-0114,journal,Elsevier BV
journal:S3961818,journal,S3961818,General Pharmacology The Vascular System,General Pharmacology The Vascular System,0306-3623,journal,Elsevier BV
journal:S65932378,journal,S65932378,Genetics,Genetics,0016-6731,journal,Oxford University Press
journal:S187186932,journal,S187186932,Genetics in Medicine,Genetics in Medicine,1098-3600,journal,Elsevier BV
journal:S81160022,journal,S81160022,Genome biology,Genome biology,1474-7596,journal,BioMed Central
journal:S29311329,journal,S29311329,Geological Society London Special Publications,Geological Society London Special Publications,0305-8719,journal,Geological Society of London
journal:S190989491,journal,S190989491,Gerontology,Gerontology,0304-324X,journal,Karger Publishers
journal:S170199316,journal,S170199316,Géotechnique,Géotechnique,0016-8505,journal,ICE Publishing
journal:S129458801,journal,S129458801,Harvard Educational Review,Harvard Educational Review,0017-8055,journal,Harvard University Press
journal:S4306463363,journal,S4306463363,Harvard University Press eBooks,Harvard University Press eBooks,,ebook platform,Harvard University Press
journal:S4210209709,journal,S4210209709,Health Policy,Health Policy,0168-8510,journal,Elsevier BV
journal:S176903982,journal,S176903982,Health Promotion Practice,Health Promotion Practice,1524-8399,journal,SAGE Publishing
journal:name:http://www-stat.stanford.edu/~hastie/papers/eslii.pdf,journal,name:http://www-stat.stanford.edu/~hastie/papers/eslii.pdf,http://www-stat.stanford.edu/~hastie/Papers/ESLII.pdf,http://www-stat.stanford.edu/~hastie/Papers/ESLII.pdf,,,
journal:name:http://www.cs.toronto.edu/%7ersalakhu/papers/srivastava14a.pdf,journal,name:http://www.cs.toronto.edu/%7ersalakhu/papers/srivastava14a.pdf,http://www.cs.toronto.edu/%7Ersalakhu/papers/srivastava14a.pdf,http://www.cs.toronto.edu/%7Ersalakhu/papers/srivastava14a.pdf,,,
journal:name:http://www.cs.unc.edu/%7ewliu/papers/ssd.pdf,journal,name:http://www.cs.unc.edu/%7ewliu/papers/ssd.pdf,http://www.cs.unc.edu/%7Ewliu/papers/ssd.pdf,http://www.cs.unc.edu/%7Ewliu/papers/ssd.pdf,,,
journal:name:http://www2.cs.uh.edu/~ceick/7363/papers/dbscan.pdf,journal,name:http://www2.cs.uh.edu/~ceick/7363/papers/dbscan.pdf,http://www2.cs.uh.edu/~ceick/7363/Papers/dbscan.pdf,http://www2.cs.uh.edu/~ceick/7363/Papers/dbscan.pdf,,,
journal:S61446109,journal,S61446109,Human Relations,Human Relations,0018-7267,journal,SAGE Publishing
journal:S184954342,journal,S184954342,IEEE Transactions on Automatic Control,IEEE Transactions on Automatic Control,0018-9286,journal,Institute of Electrical and Electronics Engineers
journal:S93787993,journal,S93787993,IEEE Transactions on Evolutionary Computation,IEEE Transactions on Evolutionary Computation,1089-778X,journal,Institute of Electrical and Electronics Engineers
journal:S4210173141,journal,S4210173141,IEEE Transactions on Image Processing,IEEE Transactions on Image Processing,1057-7149,journal,Institute of Electrical and Electronics Engineers
journal:S4502562,journal,S4502562,IEEE Transactions on Information Theory,IEEE Transactions on Information Theory,0018-9448,journal,Institute of Electrical and Electronics Engineers
journal:S30698027,journal,S30698027,IEEE Transactions on Knowledge and Data Engineering,IEEE Transactions on Knowledge and Data Engineering,1041-4347,journal,IEEE Computer Society
journal:S42080949,journal,S42080949,IEEE Transactions on Neural Networks,IEEE Transactions on Neural Networks,1045-9227,journal,Institute of Electrical and Electronics Engineers
journal:S199944782,journal,S199944782,IEEE Transactions on Pattern Analysis and Machine Intelligence,IEEE Transactions on Pattern Analysis and Machine Intelligence,0162-8828,journal,IEEE Computer Society
journal:S76152103,journal,S76152103,IEEE Transactions on Systems Man and Cybernetics,IEEE Transactions on Systems Man and Cybernetics,0018-9472,journal,Institute of Electrical and Electronics Engineers
journal:S166948985,journal,S166948985,Industrial Robot the international journal of robotics research and application,Industrial Robot the international journal of robotics research and application,0143-991X,journal,Emerald Publishing Limited
journal:S4210192454,journal,S4210192454,Information and Control,Information and Control,0019-9958,journal,Academic Press
journal:S4210208459,journal,S4210208459,Integrative Medicine International,Integrative Medicine International,2296-7362,journal,Karger Publishers
journal:S4306401748,journal,S4306401748,Intellectum (Universidad de La Sabana),Intellectum (Universidad de La Sabana),,repository,Universidad de La Sabana
journal:S74917805,journal,S74917805,International Journal for Quality in Health Care,International Journal for Quality in Health Care,1353-4505,journal,Oxford University Press
journal:S5382288,journal,S5382288,International Journal of Cancer,International Journal of Cancer,0020-7136,journal,Wiley
journal:S32061424,journal,S32061424,International Journal of Climatology,International Journal of Climatology,0899-8418,journal,Wiley
journal:S25538012,journal,S25538012,International Journal of Computer Vision,International Journal of Computer Vision,0920-5691,journal,Springer Science+Business Media
journal:S39841227,journal,S39841227,International Journal of Forecasting,International Journal of Forecasting,0169-2070,journal,Elsevier BV
journal:S189354248,journal,S189354248,International Journal of Information Management,International Journal of Information Management,0268-4012,journal,Elsevier BV
journal:S174538591,journal,S174538591,International Journal of Intercultural Relations,International Journal of Intercultural Relations,0147-1767,journal,Elsevier BV
journal:S114106686,journal,S114106686,International Journal of Research & Method in Education,International Journal of Research & Method in Education,1743-727X,journal,Routledge
journal:S125130336,journal,S125130336,International Journal of Social Research Methodology,International Journal of Social Research Methodology,1364-5579,journal,Taylor & Francis
journal:S90857023,journal,S90857023,International Migration Review,International Migration Review,0197-9183,journal,SAGE Publishing
journal:S172573765,journal,S172573765,JAMA,JAMA,0098-7484,journal,American Medical Association
journal:S98010888,journal,S98010888,JNCI Journal of the National Cancer Institute,JNCI Journal of the National Cancer Institute,0027-8874,journal,Oxford University Press
journal:S4306463499,journal,S4306463499,Johns Hopkins University Press eBooks,Johns Hopkins University Press eBooks,,ebook platform,Johns Hopkins University Press
journal:S207420867,journal,S207420867,Journal for the Scientific Study of Religion,Journal for the Scientific Study of Religion,0021-8294,journal,Wiley
journal:S137832324,journal,S137832324,Journal of Advanced Nursing,Journal of Advanced Nursing,0309-2402,journal,Wiley
journal:S26308392,journal,S26308392,Journal of Aesthetics and Art Criticism,Journal of Aesthetics and Art Criticism,0021-8529,journal,Oxford University Press
journal:S2755299131,journal,S2755299131,Journal of AOAC INTERNATIONAL,Journal of AOAC INTERNATIONAL,0004-5756,journal,Oxford University Press
journal:S79162954,journal,S79162954,Journal of Applied Crystallography,Journal of Applied Crystallography,0021-8898,journal,Wiley
journal:S85739584,journal,S85739584,Journal of Applied Econometrics,Journal of Applied Econometrics,0883-7252,journal,Wiley
journal:S187991544,journal,S187991544,Journal of Applied Physics,Journal of Applied Physics,0021-8979,journal,American Institute of Physics
journal:S166002381,journal,S166002381,Journal of Applied Psychology,Journal of Applied Psychology,0021-9010,journal,American Psychological Association
journal:S139930977,journal,S139930977,Journal of Artificial Intelligence Research,Journal of Artificial Intelligence Research,1076-9757,journal,AI Access Foundation
journal:S2764422239,journal,S2764422239,Journal of Basic Engineering,Journal of Basic Engineering,0021-9223,journal,American Society of Mechanical Engineers
journal:S140251998,journal,S140251998,Journal of Biological Chemistry,Journal of Biological Chemistry,0021-9258,journal,Elsevier BV
journal:S11622463,journal,S11622463,Journal of Biomedical Informatics,Journal of Biomedical Informatics,1532-0464,journal,Elsevier BV
journal:S181390377,journal,S181390377,Journal of Biomolecular NMR,Journal of Biomolecular NMR,0925-2738,journal,Springer Science+Business Media
journal:S189701308,journal,S189701308,Journal of Chemical Theory and Computation,Journal of Chemical Theory and Computation,1549-9618,journal,American Chemical Society
journal:S67905653,journal,S67905653,Journal of Chiropractic Medicine,Journal of Chiropractic Medicine,1556-3707,journal,Elsevier BV
journal:S69091592,journal,S69091592,Journal of Chronic Diseases,Journal of Chronic Diseases,0021-9681,journal,Pergamon Press
journal:S64418186,journal,S64418186,Journal of Clinical Epidemiology,Journal of Clinical Epidemiology,0895-4356,journal,Elsevier BV
journal:S18971317,journal,S18971317,Journal of Cognitive Psychotherapy,Journal of Cognitive Psychotherapy,0889-8391,journal,Springer Nature
journal:S165473669,journal,S165473669,Journal of Computational and Applied Mathematics,Journal of Computational and Applied Mathematics,0377-0427,journal,Elsevier BV
journal:S78571599,journal,S78571599,Journal of Computational Biology,Journal of Computational Biology,1066-5277,journal,"Mary Ann Liebert, Inc."
journal:S21117631,journal,S21117631,Journal of Computational Chemistry,Journal of Computational Chemistry,0192-8651,journal,Wiley
journal:S148709879,journal,S148709879,Journal of Computational Physics,Journal of Computational Physics,0021-9991,journal,Elsevier BV
journal:S141020589,journal,S141020589,Journal of Computer and System Sciences,Journal of Computer and System Sciences,0022-0000,journal,Elsevier BV
journal:S30594836,journal,S30594836,Journal of Computer-Mediated Communication,Journal of Computer-Mediated Communication,1083-6101,journal,Wiley
journal:S28349394,journal,S28349394,Journal of Dairy Science,Journal of Dairy Science,0022-0302,journal,Elsevier BV
journal:S127742747,journal,S127742747,Journal of Econometrics,Journal of Econometrics,0304-4076,journal,Elsevier BV
journal:S44585919,journal,S44585919,Journal of Economic Dynamics and Control,Journal of Economic Dynamics and Control,0165-1889,journal,Elsevier BV
journal:S146976949,journal,S146976949,Journal of Economic Entomology,Journal of Economic Entomology,0022-0493,journal,Oxford University Press
journal:S158511090,journal,S158511090,Journal of Electronic Imaging,Journal of Electronic Imaging,1017-9909,journal,SPIE
journal:S32271328,journal,S32271328,Journal of Environmental Psychology,Journal of Environmental Psychology,0272-4944,journal,Elsevier BV
