id,type,source,target,publication_id,topic_id,topic_name,score
has_topic:publication:W3123397884->topic:T11810,has_topic,publication:W3123397884,topic:T11810,W3123397884,T11810,Complex Systems and Decision Making,0.1745000034570694
has_topic:publication:W2133990480->topic:T10538,has_topic,publication:W2133990480,topic:T10538,W2133990480,T10538,Data Mining Algorithms and Applications,0.9988999962806702
has_topic:publication:W2133990480->topic:T10317,has_topic,publication:W2133990480,topic:T10317,W2133990480,T10317,Advanced Database Systems and Queries,0.9965000152587891
has_topic:publication:W2133990480->topic:T11106,has_topic,publication:W2133990480,topic:T11106,W2133990480,T11106,Data Management and Algorithms,0.9965000152587891
has_topic:publication:W2764347725->topic:T10622,has_topic,publication:W2764347725,topic:T10622,W2764347725,T10622,Quantum Mechanics and Applications,0.7595999836921692
has_topic:publication:W2764347725->topic:T10682,has_topic,publication:W2764347725,topic:T10682,W2764347725,T10682,Quantum Computing Algorithms and Architecture,0.7258999943733215
has_topic:publication:W2153635508->topic:T10057,has_topic,publication:W2153635508,topic:T10057,W2153635508,T10057,Face and Expression Recognition,0.9997000098228455
has_topic:publication:W2153635508->topic:T10320,has_topic,publication:W2153635508,topic:T10320,W2153635508,T10320,Neural Networks and Applications,0.9988999962806702
has_topic:publication:W2153635508->topic:T11512,has_topic,publication:W2153635508,topic:T11512,W2153635508,T11512,Anomaly Detection Techniques and Applications,0.9976999759674072
has_topic:publication:W2167590372->topic:T12557,has_topic,publication:W2167590372,topic:T12557,W2167590372,T12557,Inorganic Chemistry and Materials,0.9995999932289124
has_topic:publication:W2167590372->topic:T12613,has_topic,publication:W2167590372,topic:T12613,W2167590372,T12613,X-ray Diffraction in Crystallography,0.9969000220298767
has_topic:publication:W2167590372->topic:T10939,has_topic,publication:W2167590372,topic:T10939,W2167590372,T10939,Crystal Structures and Properties,0.9958999752998352
has_topic:publication:W2132454074->topic:T12613,has_topic,publication:W2132454074,topic:T12613,W2132454074,T12613,X-ray Diffraction in Crystallography,1.0
has_topic:publication:W2132454074->topic:T12646,has_topic,publication:W2132454074,topic:T12646,W2132454074,T12646,Inorganic Fluorides and Related Compounds,1.0
has_topic:publication:W2132454074->topic:T10939,has_topic,publication:W2132454074,topic:T10939,W2132454074,T10939,Crystal Structures and Properties,0.9998999834060669
has_topic:publication:W2131350133->topic:T11162,has_topic,publication:W2131350133,topic:T11162,W2131350133,T11162,Enzyme Structure and Function,0.9998999834060669
has_topic:publication:W2131350133->topic:T10044,has_topic,publication:W2131350133,topic:T10044,W2131350133,T10044,Protein Structure and Dynamics,0.9987000226974487
has_topic:publication:W2131350133->topic:T10211,has_topic,publication:W2131350133,topic:T10211,W2131350133,T10211,Computational Drug Discovery Methods,0.9948999881744385
has_topic:publication:W2148066840->topic:T12613,has_topic,publication:W2148066840,topic:T12613,W2148066840,T12613,X-ray Diffraction in Crystallography,0.9998999834060669
has_topic:publication:W2148066840->topic:T10798,has_topic,publication:W2148066840,topic:T10798,W2148066840,T10798,Crystallography and molecular interactions,0.9937000274658203
has_topic:publication:W2148066840->topic:T11881,has_topic,publication:W2148066840,topic:T11881,W2148066840,T11881,Crystallization and Solubility Studies,0.9889000058174133
has_topic:publication:W1969360633->topic:T12613,has_topic,publication:W1969360633,topic:T12613,W1969360633,T12613,X-ray Diffraction in Crystallography,0.9998000264167786
has_topic:publication:W1969360633->topic:T10798,has_topic,publication:W1969360633,topic:T10798,W1969360633,T10798,Crystallography and molecular interactions,0.9990000128746033
has_topic:publication:W1969360633->topic:T11162,has_topic,publication:W1969360633,topic:T11162,W1969360633,T11162,Enzyme Structure and Function,0.9976999759674072
has_topic:publication:W2180229411->topic:T11162,has_topic,publication:W2180229411,topic:T11162,W2180229411,T11162,Enzyme Structure and Function,0.9998999834060669
has_topic:publication:W2180229411->topic:T10044,has_topic,publication:W2180229411,topic:T10044,W2180229411,T10044,Protein Structure and Dynamics,0.9994000196456909
has_topic:publication:W2180229411->topic:T10932,has_topic,publication:W2180229411,topic:T10932,W2180229411,T10932,Microbial Metabolic Engineering and Bioproduction,0.9822999835014343
has_topic:publication:W4248872320->topic:T11162,has_topic,publication:W4248872320,topic:T11162,W4248872320,T11162,Enzyme Structure and Function,0.9994000196456909
has_topic:publication:W4248872320->topic:T12613,has_topic,publication:W4248872320,topic:T12613,W4248872320,T12613,X-ray Diffraction in Crystallography,0.9904000163078308
has_topic:publication:W4248872320->topic:T10995,has_topic,publication:W4248872320,topic:T10995,W4248872320,T10995,Methane Hydrates and Related Phenomena,0.9894999861717224
has_topic:publication:W2124026197->topic:T11162,has_topic,publication:W2124026197,topic:T11162,W2124026197,T11162,Enzyme Structure and Function,0.9983000159263611
has_topic:publication:W2124026197->topic:T10044,has_topic,publication:W2124026197,topic:T10044,W2124026197,T10044,Protein Structure and Dynamics,0.991599977016449
has_topic:publication:W2124026197->topic:T10303,has_topic,publication:W2124026197,topic:T10303,W2124026197,T10303,Photosynthetic Processes and Mechanisms,0.984000027179718
has_topic:publication:W2144081223->topic:T11162,has_topic,publication:W2144081223,topic:T11162,W2144081223,T11162,Enzyme Structure and Function,0.9997000098228455
has_topic:publication:W2144081223->topic:T10044,has_topic,publication:W2144081223,topic:T10044,W2144081223,T10044,Protein Structure and Dynamics,0.9987000226974487
has_topic:publication:W2144081223->topic:T10932,has_topic,publication:W2144081223,topic:T10932,W2144081223,T10932,Microbial Metabolic Engineering and Bioproduction,0.9908000230789185
has_topic:publication:W1995017064->topic:T11809,has_topic,publication:W1995017064,topic:T11809,W1995017064,T11809,Advanced NMR Techniques and Applications,0.9990000128746033
has_topic:publication:W1995017064->topic:T11162,has_topic,publication:W1995017064,topic:T11162,W1995017064,T11162,Enzyme Structure and Function,0.998199999332428
has_topic:publication:W1995017064->topic:T10044,has_topic,publication:W1995017064,topic:T10044,W1995017064,T10044,Protein Structure and Dynamics,0.9855999946594238
has_topic:publication:W2001641653->topic:T11162,has_topic,publication:W2001641653,topic:T11162,W2001641653,T11162,Enzyme Structure and Function,0.9908999800682068
has_topic:publication:W2366536035->topic:T10129,has_topic,publication:W2366536035,topic:T10129,W2366536035,T10129,Glioma Diagnosis and Treatment,0.9998999834060669
has_topic:publication:W2366536035->topic:T11251,has_topic,publication:W2366536035,topic:T11251,W2366536035,T11251,Meningioma and schwannoma management,0.998199999332428
has_topic:publication:W2366536035->topic:T11600,has_topic,publication:W2366536035,topic:T11600,W2366536035,T11600,Brain Metastases and Treatment,0.9959999918937683
has_topic:publication:W2052742260->topic:T10086,has_topic,publication:W2052742260,topic:T10086,W2052742260,T10086,Alzheimer's disease research and treatments,0.9995999932289124
has_topic:publication:W2052742260->topic:T10009,has_topic,publication:W2052742260,topic:T10009,W2052742260,T10009,Dementia and Cognitive Impairment Research,0.9988999962806702
has_topic:publication:W2052742260->topic:T10448,has_topic,publication:W2052742260,topic:T10448,W2052742260,T10448,Memory and Neural Mechanisms,0.994700014591217
has_topic:publication:W2166281097->topic:T10853,has_topic,publication:W2166281097,topic:T10853,W2166281097,T10853,"Anxiety, Depression, Psychometrics, Treatment, Cognitive Processes",0.9994000196456909
has_topic:publication:W2166281097->topic:T11334,has_topic,publication:W2166281097,topic:T11334,W2166281097,T11334,Psychosomatic Disorders and Their Treatments,0.9988999962806702
has_topic:publication:W2166281097->topic:T11083,has_topic,publication:W2166281097,topic:T11083,W2166281097,T11083,Cardiac Health and Mental Health,0.9973000288009644
has_topic:publication:W2140918013->topic:T14477,has_topic,publication:W2140918013,topic:T14477,W2140918013,T14477,"Management, Economics, and Public Policy",0.052000001072883606
has_topic:publication:W2140918013->topic:T13402,has_topic,publication:W2140918013,topic:T13402,W2140918013,T13402,Business Strategy and Innovation,0.04960000142455101
has_topic:publication:W2140918013->topic:T12751,has_topic,publication:W2140918013,topic:T12751,W2140918013,T12751,Leadership and Management in Organizations,0.04650000110268593
has_topic:publication:W2108795964->topic:T10003,has_topic,publication:W2108795964,topic:T10003,W2108795964,T10003,Innovation and Knowledge Management,0.9977999925613403
has_topic:publication:W2108795964->topic:T11849,has_topic,publication:W2108795964,topic:T11849,W2108795964,T11849,Intellectual Capital and Performance Analysis,0.9868000149726868
has_topic:publication:W2108795964->topic:T12659,has_topic,publication:W2108795964,topic:T12659,W2108795964,T12659,Innovation Diffusion and Forecasting,0.9789999723434448
has_topic:publication:W2135732933->topic:T11881,has_topic,publication:W2135732933,topic:T11881,W2135732933,T11881,Crystallization and Solubility Studies,0.9998000264167786
has_topic:publication:W2135732933->topic:T10908,has_topic,publication:W2135732933,topic:T10908,W2135732933,T10908,Analytical Chemistry and Chromatography,0.9993000030517578
has_topic:publication:W2135732933->topic:T10256,has_topic,publication:W2135732933,topic:T10256,W2135732933,T10256,Drug Solubulity and Delivery Systems,0.9988999962806702
has_topic:publication:W2061438946->topic:T10100,has_topic,publication:W2061438946,topic:T10100,W2061438946,T10100,Metaheuristic Optimization Algorithms Research,0.9998999834060669
has_topic:publication:W2061438946->topic:T10848,has_topic,publication:W2061438946,topic:T10848,W2061438946,T10848,Advanced Multi-Objective Optimization Algorithms,0.9940000176429749
has_topic:publication:W2061438946->topic:T11975,has_topic,publication:W2061438946,topic:T11975,W2061438946,T11975,Evolutionary Algorithms and Applications,0.9761000275611877
has_topic:publication:W4214907476->topic:T10314,has_topic,publication:W4214907476,topic:T10314,W4214907476,T10314,Social and Intergroup Psychology,0.3384000062942505
has_topic:publication:W2061977616->topic:T10003,has_topic,publication:W2061977616,topic:T10003,W2061977616,T10003,Innovation and Knowledge Management,0.9932000041007996
has_topic:publication:W2061977616->topic:T11849,has_topic,publication:W2061977616,topic:T11849,W2061977616,T11849,Intellectual Capital and Performance Analysis,0.9697999954223633
has_topic:publication:W2061977616->topic:T12851,has_topic,publication:W2061977616,topic:T12851,W2061977616,T12851,Firm Innovation and Growth,0.9573000073432922
has_topic:publication:W1993663609->topic:T10344,has_topic,publication:W1993663609,topic:T10344,W1993663609,T10344,Management and Organizational Studies,0.9993000030517578
has_topic:publication:W1993663609->topic:T10213,has_topic,publication:W1993663609,topic:T10213,W1993663609,T10213,Public Policy and Administration Research,0.9735000133514404
has_topic:publication:W1993663609->topic:T13235,has_topic,publication:W1993663609,topic:T13235,W1993663609,T13235,Management Theory and Practice,0.9599999785423279
has_topic:publication:W2069687969->topic:T12795,has_topic,publication:W2069687969,topic:T12795,W2069687969,T12795,Banana Cultivation and Research,0.5090000033378601
has_topic:publication:W1974097079->topic:T10360,has_topic,publication:W1974097079,topic:T10360,W1974097079,T10360,Fluid Dynamics and Turbulent Flows,0.9998000264167786
has_topic:publication:W1974097079->topic:T11371,has_topic,publication:W1974097079,topic:T11371,W1974097079,T11371,Wind and Air Flow Studies,0.9972000122070312
has_topic:publication:W1974097079->topic:T10173,has_topic,publication:W1974097079,topic:T10173,W1974097079,T10173,Computational Fluid Dynamics and Aerodynamics,0.996399998664856
has_topic:publication:W2115017507->topic:T10009,has_topic,publication:W2115017507,topic:T10009,W2115017507,T10009,Dementia and Cognitive Impairment Research,0.9994000196456909
has_topic:publication:W2115017507->topic:T10086,has_topic,publication:W2115017507,topic:T10086,W2115017507,T10086,Alzheimer's disease research and treatments,0.9758999943733215
has_topic:publication:W2115017507->topic:T11011,has_topic,publication:W2115017507,topic:T11011,W2115017507,T11011,Frailty in Older Adults,0.9571999907493591
has_topic:publication:W3121131820->topic:T10019,has_topic,publication:W3121131820,topic:T10019,W3121131820,T10019,Corporate Finance and Governance,0.901199996471405
has_topic:publication:W2136931384->topic:T12167,has_topic,publication:W2136931384,topic:T12167,W2136931384,T12167,Bacterial Identification and Susceptibility Testing,0.9995999932289124
has_topic:publication:W2136931384->topic:T11316,has_topic,publication:W2136931384,topic:T11316,W2136931384,T11316,Mycobacterium research and diagnosis,0.9980000257492065
has_topic:publication:W2136931384->topic:T13791,has_topic,publication:W2136931384,topic:T13791,W2136931384,T13791,Veterinary medicine and infectious diseases,0.9950000047683716
has_topic:publication:W2114004260->topic:T10908,has_topic,publication:W2114004260,topic:T10908,W2114004260,T10908,Analytical Chemistry and Chromatography,0.9811000227928162
has_topic:publication:W2114004260->topic:T11667,has_topic,publication:W2114004260,topic:T11667,W2114004260,T11667,Advanced Chemical Sensor Technologies,0.9778000116348267
has_topic:publication:W2114004260->topic:T10836,has_topic,publication:W2114004260,topic:T10836,W2114004260,T10836,Metabolomics and Mass Spectrometry Studies,0.9474999904632568
has_topic:publication:W2256756668->topic:T11610,has_topic,publication:W2256756668,topic:T11610,W2256756668,T11610,Food Security and Health in Diverse Populations,0.8838000297546387
has_topic:publication:W1631356911->topic:T10622,has_topic,publication:W1631356911,topic:T10622,W1631356911,T10622,Quantum Mechanics and Applications,0.850600004196167
has_topic:publication:W1631356911->topic:T10682,has_topic,publication:W1631356911,topic:T10682,W1631356911,T10682,Quantum Computing Algorithms and Architecture,0.8460000157356262
has_topic:publication:W2078206416->topic:T14339,has_topic,publication:W2078206416,topic:T14339,W2078206416,T14339,Image Processing and 3D Reconstruction,0.7738999724388123
has_topic:publication:W2078206416->topic:T12417,has_topic,publication:W2078206416,topic:T12417,W2078206416,T12417,Morphological variations and asymmetry,0.6801999807357788
has_topic:publication:W2120062331->topic:T10963,has_topic,publication:W2120062331,topic:T10963,W2120062331,T10963,Advanced Optimization Algorithms Research,0.1445000022649765
has_topic:publication:W2120062331->topic:T14500,has_topic,publication:W2120062331,topic:T14500,W2120062331,T14500,Advanced Mathematical Theories,0.1429000049829483
has_topic:publication:W2120062331->topic:T10792,has_topic,publication:W2120062331,topic:T10792,W2120062331,T10792,Matrix Theory and Algorithms,0.12290000170469284
has_topic:publication:W1974085346->topic:T12613,has_topic,publication:W1974085346,topic:T12613,W1974085346,T12613,X-ray Diffraction in Crystallography,0.9747999906539917
has_topic:publication:W1974085346->topic:T13129,has_topic,publication:W1974085346,topic:T13129,W1974085346,T13129,Material Properties and Applications,0.9434999823570251
has_topic:publication:W2056722718->topic:T12044,has_topic,publication:W2056722718,topic:T12044,W2056722718,T12044,Advanced Physical and Chemical Molecular Interactions,0.10790000110864639
has_topic:publication:W2116839388->topic:T10426,has_topic,publication:W2116839388,topic:T10426,W2116839388,T10426,Child Abuse and Trauma,0.9959999918937683
has_topic:publication:W2116839388->topic:T11464,has_topic,publication:W2116839388,topic:T11464,W2116839388,T11464,Homelessness and Social Issues,0.9836000204086304
has_topic:publication:W2116839388->topic:T11629,has_topic,publication:W2116839388,topic:T11629,W2116839388,T11629,"Birth, Development, and Health",0.9746000170707703
has_topic:publication:W2127951128->topic:T10143,has_topic,publication:W2127951128,topic:T10143,W2127951128,T10143,Chronic Obstructive Pulmonary Disease (COPD) Research,1.0
has_topic:publication:W2127951128->topic:T10322,has_topic,publication:W2127951128,topic:T10322,W2127951128,T10322,Respiratory Support and Mechanisms,0.9975000023841858
has_topic:publication:W2127951128->topic:T10051,has_topic,publication:W2127951128,topic:T10051,W2127951128,T10051,Asthma and respiratory diseases,0.9848999977111816
has_topic:publication:W3123534837->topic:T11239,has_topic,publication:W3123534837,topic:T11239,W3123534837,T11239,Social Capital and Networks,0.7810999751091003
has_topic:publication:W3123534837->topic:T10785,has_topic,publication:W3123534837,topic:T10785,W3123534837,T10785,Economic Theory and Institutions,0.723800003528595
has_topic:publication:W3022339544->topic:T10785,has_topic,publication:W3022339544,topic:T10785,W3022339544,T10785,Economic Theory and Institutions,0.9477999806404114
has_topic:publication:W3022339544->topic:T11743,has_topic,publication:W3022339544,topic:T11743,W3022339544,T11743,Political Economy and Marxism,0.9160000085830688
has_topic:publication:W1965278510->topic:T10344,has_topic,publication:W1965278510,topic:T10344,W1965278510,T10344,Management and Organizational Studies,0.9865999817848206
has_topic:publication:W1965278510->topic:T13235,has_topic,publication:W1965278510,topic:T13235,W1965278510,T13235,Management Theory and Practice,0.9850999712944031
has_topic:publication:W1965278510->topic:T12730,has_topic,publication:W1965278510,topic:T12730,W1965278510,T12730,"Weber, Simmel, Sociological Theory",0.9483000040054321
has_topic:publication:W2109469951->topic:T12592,has_topic,publication:W2109469951,topic:T12592,W2109469951,T12592,Opinion Dynamics and Social Influence,0.9994000196456909
has_topic:publication:W2109469951->topic:T10064,has_topic,publication:W2109469951,topic:T10064,W2109469951,T10064,Complex Network Analysis Techniques,0.9958000183105469
has_topic:publication:W2109469951->topic:T11239,has_topic,publication:W2109469951,topic:T11239,W2109469951,T11239,Social Capital and Networks,0.9958000183105469
has_topic:publication:W2144846366->topic:T11031,has_topic,publication:W2144846366,topic:T11031,W2144846366,T11031,Game Theory and Applications,0.8385000228881836
has_topic:publication:W4247665917->topic:T13091,has_topic,publication:W4247665917,topic:T13091,W4247665917,T13091,Human Health and Disease,0.11829999834299088
has_topic:publication:W4281687410->topic:T13091,has_topic,publication:W4281687410,topic:T13091,W4281687410,T13091,Human Health and Disease,0.11919999867677689
has_topic:publication:W4242883546->topic:T11400,has_topic,publication:W4242883546,topic:T11400,W4242883546,T11400,Motivation and Self-Concept in Sports,0.9998999834060669
has_topic:publication:W4242883546->topic:T10547,has_topic,publication:W4242883546,topic:T10547,W4242883546,T10547,"Education, Achievement, and Giftedness",0.9873999953269958
has_topic:publication:W4242883546->topic:T12258,has_topic,publication:W4242883546,topic:T12258,W4242883546,T12258,"Perfectionism, Procrastination, Anxiety Studies",0.9811999797821045
has_topic:publication:W2141846678->topic:T11400,has_topic,publication:W2141846678,topic:T11400,W2141846678,T11400,Motivation and Self-Concept in Sports,0.9998000264167786
has_topic:publication:W2141846678->topic:T10547,has_topic,publication:W2141846678,topic:T10547,W2141846678,T10547,"Education, Achievement, and Giftedness",0.9976999759674072
has_topic:publication:W2141846678->topic:T12258,has_topic,publication:W2141846678,topic:T12258,W2141846678,T12258,"Perfectionism, Procrastination, Anxiety Studies",0.9840999841690063
has_topic:publication:W3123282572->topic:T10344,has_topic,publication:W3123282572,topic:T10344,W3123282572,T10344,Management and Organizational Studies,0.9609000086784363
has_topic:publication:W2073506374->topic:T11743,has_topic,publication:W2073506374,topic:T11743,W2073506374,T11743,Political Economy and Marxism,0.9968000054359436
has_topic:publication:W2073506374->topic:T11742,has_topic,publication:W2073506374,topic:T11742,W2073506374,T11742,Economic Theory and Policy,0.9351000189781189
has_topic:publication:W2044950274->topic:T13277,has_topic,publication:W2044950274,topic:T13277,W2044950274,T13277,"Media, Religion, Digital Communication",0.0544000007212162
has_topic:publication:W2075435443->topic:T12524,has_topic,publication:W2075435443,topic:T12524,W2075435443,T12524,Chemical Synthesis and Characterization,0.9577999711036682
has_topic:publication:W2165292984->topic:T10212,has_topic,publication:W2165292984,topic:T10212,W2165292984,T10212,Electrochemical sensors and biosensors,0.9761999845504761
has_topic:publication:W2165292984->topic:T10452,has_topic,publication:W2165292984,topic:T10452,W2165292984,T10452,Iron Metabolism and Disorders,0.9732999801635742
has_topic:publication:W2165292984->topic:T11534,has_topic,publication:W2165292984,topic:T11534,W2165292984,T11534,Erythropoietin and Anemia Treatment,0.9663000106811523
has_topic:publication:W2314225431->topic:T13937,has_topic,publication:W2314225431,topic:T13937,W2314225431,T13937,"Genetics, Bioinformatics, and Biomedical Research",0.23240000009536743
has_topic:publication:W1856219842->topic:T11634,has_topic,publication:W1856219842,topic:T11634,W1856219842,T11634,Water Quality and Pollution Assessment,0.8208000063896179
has_topic:publication:W4294216491->topic:T11970,has_topic,publication:W4294216491,topic:T11970,W4294216491,T11970,Molecular Biology Techniques and Applications,0.9787999987602234
has_topic:publication:W2134812217->topic:T11970,has_topic,publication:W2134812217,topic:T11970,W2134812217,T11970,Molecular Biology Techniques and Applications,0.9337999820709229
has_topic:publication:W4232534952->topic:T10683,has_topic,publication:W4232534952,topic:T10683,W4232534952,T10683,Mass Spectrometry Techniques and Applications,0.9987000226974487
has_topic:publication:W4232534952->topic:T10333,has_topic,publication:W4232534952,topic:T10333,W4232534952,T10333,Meat and Animal Product Quality,0.9976000189781189
has_topic:publication:W4232534952->topic:T10908,has_topic,publication:W4232534952,topic:T10908,W4232534952,T10908,Analytical Chemistry and Chromatography,0.996999979019165
has_topic:publication:W2014669590->topic:T10207,has_topic,publication:W2014669590,topic:T10207,W2014669590,T10207,Advanced biosensing and bioanalysis techniques,0.9975000023841858
has_topic:publication:W2014669590->topic:T10432,has_topic,publication:W2014669590,topic:T10432,W2014669590,T10432,DNA and Nucleic Acid Chemistry,0.9958999752998352
has_topic:publication:W2014669590->topic:T11086,has_topic,publication:W2014669590,topic:T11086,W2014669590,T11086,Parasitic Infections and Diagnostics,0.9886999726295471
has_topic:publication:W1983310681->topic:T10836,has_topic,publication:W1983310681,topic:T10836,W1983310681,T10836,Metabolomics and Mass Spectrometry Studies,0.9954000115394592
has_topic:publication:W1983310681->topic:T10333,has_topic,publication:W1983310681,topic:T10333,W1983310681,T10333,Meat and Animal Product Quality,0.9923999905586243
has_topic:publication:W1983310681->topic:T10445,has_topic,publication:W1983310681,topic:T10445,W1983310681,T10445,Antioxidant Activity and Oxidative Stress,0.9914000034332275
has_topic:publication:W2128635872->topic:T10333,has_topic,publication:W2128635872,topic:T10333,W2128635872,T10333,Meat and Animal Product Quality,0.9998000264167786
has_topic:publication:W2128635872->topic:T11561,has_topic,publication:W2128635872,topic:T11561,W2128635872,T11561,Protein Hydrolysis and Bioactive Peptides,0.9923999905586243
has_topic:publication:W2128635872->topic:T11663,has_topic,publication:W2128635872,topic:T11663,W2128635872,T11663,Viral Infectious Diseases and Gene Expression in Insects,0.9908999800682068
has_topic:publication:W4293247451->topic:T10333,has_topic,publication:W4293247451,topic:T10333,W4293247451,T10333,Meat and Animal Product Quality,0.9998999834060669
has_topic:publication:W4293247451->topic:T10750,has_topic,publication:W4293247451,topic:T10750,W4293247451,T10750,Fermentation and Sensory Analysis,0.9751999974250793
has_topic:publication:W4293247451->topic:T11399,has_topic,publication:W4293247451,topic:T11399,W4293247451,T11399,Muscle metabolism and nutrition,0.9733999967575073
has_topic:publication:W2298230951->topic:T13297,has_topic,publication:W2298230951,topic:T13297,W2298230951,T13297,History and advancements in chemistry,0.6783999800682068
has_topic:publication:W2109606373->topic:T10908,has_topic,publication:W2109606373,topic:T10908,W2109606373,T10908,Analytical Chemistry and Chromatography,0.7802000045776367
has_topic:publication:W2109606373->topic:T12327,has_topic,publication:W2109606373,topic:T12327,W2109606373,T12327,Various Chemistry Research Topics,0.7251999974250793
has_topic:publication:W2109606373->topic:T12157,has_topic,publication:W2109606373,topic:T12157,W2109606373,T12157,Geochemistry and Geologic Mapping,0.7085999846458435
has_topic:publication:W2009674410->topic:T11472,has_topic,publication:W2009674410,topic:T11472,W2009674410,T11472,Analytical Chemistry and Sensors,0.9916999936103821
has_topic:publication:W2009674410->topic:T10532,has_topic,publication:W2009674410,topic:T10532,W2009674410,T10532,Molecular Sensors and Ion Detection,0.9854000210762024
has_topic:publication:W2009674410->topic:T10212,has_topic,publication:W2009674410,topic:T10212,W2009674410,T10212,Electrochemical sensors and biosensors,0.9782999753952026
has_topic:publication:W1968834637->topic:T11584,has_topic,publication:W1968834637,topic:T11584,W1968834637,T11584,Biochemical Analysis and Sensing Techniques,0.9890000224113464
has_topic:publication:W1968834637->topic:T10908,has_topic,publication:W1968834637,topic:T10908,W1968834637,T10908,Analytical Chemistry and Chromatography,0.9889000058174133
has_topic:publication:W1968834637->topic:T11667,has_topic,publication:W1968834637,topic:T11667,W1968834637,T11667,Advanced Chemical Sensor Technologies,0.9810000061988831
has_topic:publication:W593898368->topic:T13559,has_topic,publication:W593898368,topic:T13559,W593898368,T13559,Edcuational Technology Systems,0.8513000011444092
has_topic:publication:W593898368->topic:T10561,has_topic,publication:W593898368,topic:T10561,W593898368,T10561,Educational Research and Methods,0.8417999744415283
has_topic:publication:W593898368->topic:T11734,has_topic,publication:W593898368,topic:T11734,W593898368,T11734,Decision Support System Applications,0.8320000171661377
has_topic:publication:W1584697775->topic:T13447,has_topic,publication:W1584697775,topic:T13447,W1584697775,T13447,Educational and Psychological Assessments,0.9732000231742859
has_topic:publication:W2891378911->topic:T12443,has_topic,publication:W2891378911,topic:T12443,W2891378911,T12443,Delphi Technique in Research,0.9987000226974487
has_topic:publication:W2891378911->topic:T10804,has_topic,publication:W2891378911,topic:T10804,W2891378911,T10804,"Health Systems, Economic Evaluations, Quality of Life",0.9937999844551086
has_topic:publication:W2891378911->topic:T10206,has_topic,publication:W2891378911,topic:T10206,W2891378911,T10206,Meta-analysis and systematic reviews,0.991599977016449
has_topic:publication:W2155965977->topic:T10408,has_topic,publication:W2155965977,topic:T10408,W2155965977,T10408,Chronic Kidney Disease and Diabetes,0.9998999834060669
has_topic:publication:W2155965977->topic:T10291,has_topic,publication:W2155965977,topic:T10291,W2155965977,T10291,Dialysis and Renal Disease Management,0.9987999796867371
has_topic:publication:W2155965977->topic:T11029,has_topic,publication:W2155965977,topic:T11029,W2155965977,T11029,Renal Diseases and Glomerulopathies,0.9980000257492065
has_topic:publication:W2005501262->topic:T10206,has_topic,publication:W2005501262,topic:T10206,W2005501262,T10206,Meta-analysis and systematic reviews,0.9998000264167786
has_topic:publication:W2005501262->topic:T10804,has_topic,publication:W2005501262,topic:T10804,W2005501262,T10804,"Health Systems, Economic Evaluations, Quality of Life",0.996399998664856
has_topic:publication:W2005501262->topic:T11235,has_topic,publication:W2005501262,topic:T11235,W2005501262,T11235,Statistical Methods in Clinical Trials,0.9951000213623047
has_topic:publication:W2059796825->topic:T10206,has_topic,publication:W2059796825,topic:T10206,W2059796825,T10206,Meta-analysis and systematic reviews,0.9973999857902527
has_topic:publication:W2059796825->topic:T12443,has_topic,publication:W2059796825,topic:T12443,W2059796825,T12443,Delphi Technique in Research,0.9653000235557556
