id,type,publication_id,label,title,year,journal_id,journal_name,cited_by_count
publication:W3177828909,publication,W3177828909,Highly accurate protein structure prediction with AlphaFold,Highly accurate protein structure prediction with AlphaFold,2021,S137773608,Nature,43443
publication:W4251751280,publication,W4251751280,MEGA11: Molecular Evolutionary Genetics Analysis Version 11,MEGA11: Molecular Evolutionary Genetics Analysis Version 11,2021,S57552105,Molecular Biology and Evolution,21206
publication:W3138516171,publication,W3138516171,Swin Transformer: Hierarchical Vision Transformer using Shifted Windows,Swin Transformer: Hierarchical Vision Transformer using Shifted Windows,2021,S4363607764,2021 IEEE/CVF International Conference on Computer Vision (ICCV),28826
publication:W3118615836,publication,W3118615836,The PRISMA 2020 statement: an updated guideline for reporting systematic reviews,The PRISMA 2020 statement: an updated guideline for reporting systematic reviews,2021,S4393917726,BMJ,88531
publication:W2964121744,publication,W2964121744,Без названия,Без названия,2021,S4377196569,DROPS (Schloss Dagstuhl – Leibniz Center for Informatics),50141
publication:W3001897055,publication,W3001897055,"A Novel Coronavirus from Patients with Pneumonia in China, 2019","A Novel Coronavirus from Patients with Pneumonia in China, 2019",2020,S62468778,New England Journal of Medicine,30234
publication:W3004280078,publication,W3004280078,A pneumonia outbreak associated with a new coronavirus of probable bat origin,A pneumonia outbreak associated with a new coronavirus of probable bat origin,2020,S137773608,Nature,23233
publication:W3099878876,publication,W3099878876,Array programming with NumPy,Array programming with NumPy,2020,S4306402624,TUScholarShare (Temple University),18804
publication:W3035965352,publication,W3035965352,Array programming with NumPy,Array programming with NumPy,2020,S137773608,Nature,21224
publication:W2999417355,publication,W2999417355,"Cancer statistics, 2020","Cancer statistics, 2020",2020,S126094547,CA A Cancer Journal for Clinicians,21321
publication:W3008028633,publication,W3008028633,Characteristics of and Important Lessons From the Coronavirus Disease 2019 (COVID-19) Outbreak in China,Characteristics of and Important Lessons From the Coronavirus Disease 2019 (COVID-19) Outbreak in China,2020,S172573765,JAMA,17945
publication:W3039083618,publication,W3039083618,Classical Electrodynamics,Classical Electrodynamics,2020,S4306463805,Princeton University Press eBooks,22229
publication:W3005079553,publication,W3005079553,"Clinical Characteristics of 138 Hospitalized Patients With 2019 Novel Coronavirus–Infected Pneumonia in Wuhan, China","Clinical Characteristics of 138 Hospitalized Patients With 2019 Novel Coronavirus–Infected Pneumonia in Wuhan, China",2020,S172573765,JAMA,21139
publication:W3008827533,publication,W3008827533,Clinical Characteristics of Coronavirus Disease 2019 in China,Clinical Characteristics of Coronavirus Disease 2019 in China,2020,S62468778,New England Journal of Medicine,31083
publication:W3009885589,publication,W3009885589,"Clinical course and risk factors for mortality of adult inpatients with COVID-19 in Wuhan, China: a retrospective cohort study","Clinical course and risk factors for mortality of adult inpatients with COVID-19 in Wuhan, China: a retrospective cohort study",2020,S49861241,The Lancet,29034
publication:W3001118548,publication,W3001118548,"Clinical features of patients infected with 2019 novel coronavirus in Wuhan, China","Clinical features of patients infected with 2019 novel coronavirus in Wuhan, China",2020,S49861241,The Lancet,51636
publication:W3003668884,publication,W3003668884,"Early Transmission Dynamics in Wuhan, China, of Novel Coronavirus–Infected Pneumonia","Early Transmission Dynamics in Wuhan, China, of Novel Coronavirus–Infected Pneumonia",2020,S62468778,New England Journal of Medicine,17909
publication:W3002108456,publication,W3002108456,"Epidemiological and clinical characteristics of 99 cases of 2019 novel coronavirus pneumonia in Wuhan, China: a descriptive study","Epidemiological and clinical characteristics of 99 cases of 2019 novel coronavirus pneumonia in Wuhan, China: a descriptive study",2020,S49861241,The Lancet,22636
publication:W3092849554,publication,W3092849554,"Global burden of 369 diseases and injuries in 204 countries and territories, 1990–2019: a systematic analysis for the Global Burden of Disease Study 2019","Global burden of 369 diseases and injuries in 204 countries and territories, 1990–2019: a systematic analysis for the Global Burden of Disease Study 2019",2020,S49861241,The Lancet,18650
publication:W3005235420,publication,W3005235420,IQ-TREE 2: New Models and Efficient Methods for Phylogenetic Inference in the Genomic Era,IQ-TREE 2: New Models and Efficient Methods for Phylogenetic Inference in the Genomic Era,2020,S57552105,Molecular Biology and Evolution,15871
publication:W3165656738,publication,W3165656738,La certeza de lo impredecible: Cultura Educación y Sociedad en tiempos de COVID19,La certeza de lo impredecible: Cultura Educación y Sociedad en tiempos de COVID19,2020,S4377196388,DSPACE System - Metalibrary (University of the Coast),19284
publication:W3038568908,publication,W3038568908,Radiation Resistant Camera System for Monitoring Deuterium Plasma Discharges in the Large Helical Device,Radiation Resistant Camera System for Monitoring Deuterium Plasma Discharges in the Large Helical Device,2020,S46033839,Plasma and Fusion Research,801217
publication:W3009912996,publication,W3009912996,SARS-CoV-2 Cell Entry Depends on ACE2 and TMPRSS2 and Is Blocked by a Clinically Proven Protease Inhibitor,SARS-CoV-2 Cell Entry Depends on ACE2 and TMPRSS2 and Is Blocked by a Clinically Proven Protease Inhibitor,2020,S110447773,Cell,21227
publication:W3003257820,publication,W3003257820,SciPy 1.0: fundamental algorithms for scientific computing in Python,SciPy 1.0: fundamental algorithms for scientific computing in Python,2020,S127827428,Nature Methods,36481
publication:W3025949386,publication,W3025949386,The ERA5 global reanalysis,The ERA5 global reanalysis,2020,S70522100,Quarterly Journal of the Royal Meteorological Society,29134
publication:W3006659024,publication,W3006659024,The psychological impact of quarantine and how to reduce it: rapid review of the evidence,The psychological impact of quarantine and how to reduce it: rapid review of the evidence,2020,S49861241,The Lancet,16217
publication:W2911188335,publication,W2911188335,"Cancer statistics, 2019","Cancer statistics, 2019",2019,S126094547,CA A Cancer Journal for Clinicians,20887
publication:W2949177718,publication,W2949177718,Comprehensive Integration of Single-Cell Data,Comprehensive Integration of Single-Cell Data,2019,S110447773,Cell,16460
publication:W1990513740,publication,W1990513740,Diffusion of Innovations 1,Diffusion of Innovations 1,2019,name:an integrated approach to communication theory and research,An Integrated Approach to Communication Theory and Research,37198
publication:W2965373594,publication,W2965373594,"HISTORIAE, History of Socio-Cultural Transformation as Linguistic Data Science. A Humanities Use Case","HISTORIAE, History of Socio-Cultural Transformation as Linguistic Data Science. A Humanities Use Case",2019,S4377196569,DROPS (Schloss Dagstuhl – Leibniz Center for Informatics),17242
publication:W2950504429,publication,W2950504429,Reflecting on reflexive thematic analysis,Reflecting on reflexive thematic analysis,2019,S2764513707,Qualitative Research in Sport Exercise and Health,16053
publication:W2963276645,publication,W2963276645,"Reproducible, interactive, scalable and extensible microbiome data science using QIIME 2","Reproducible, interactive, scalable and extensible microbiome data science using QIIME 2",2019,S106963461,Nature Biotechnology,23202
publication:W2970684805,publication,W2970684805,RoB 2: a revised tool for assessing risk of bias in randomised trials,RoB 2: a revised tool for assessing risk of bias in randomised trials,2019,S4393917726,BMJ,29194
publication:W2944434778,publication,W2944434778,The REDCap consortium: Building an international community of software platform partners,The REDCap consortium: Building an international community of software platform partners,2019,S11622463,Journal of Biomedical Informatics,23137
publication:W2144846366,publication,W2144846366,Theory of games and economic behavior,Theory of games and economic behavior,2019,S4306462811,American Mathematical Society eBooks,16928
publication:W2990427812,publication,W2990427812,Welcome to the Tidyverse,Welcome to the Tidyverse,2019,S4210214273,The Journal of Open Source Software,20667
publication:W2963341956,publication,W2963341956,Без названия,Без названия,2019,name:proceedings of the 2019 conference of the north,Proceedings of the 2019 Conference of the North,31791
publication:W2896457183,publication,W2896457183,AI-Assisted Pipeline for Dynamic Generation of Trustworthy Health Supplement Content at Scale,AI-Assisted Pipeline for Dynamic Generation of Trustworthy Health Supplement Content at Scale,2018,S4377196569,DROPS (Schloss Dagstuhl – Leibniz Center for Informatics),45495
publication:W2781525129,publication,W2781525129,"Cancer statistics, 2018","Cancer statistics, 2018",2018,S126094547,CA A Cancer Journal for Clinicians,16957
publication:W2884585870,publication,W2884585870,CBAM: Convolutional Block Attention Module,CBAM: Convolutional Block Attention Module,2018,S106296714,Lecture notes in computer science,21612
publication:W2129905273,publication,W2129905273,Density Estimation for Statistics and Data Analysis,Density Estimation for Statistics and Data Analysis,2018,name:без журнала,Без журнала,15906
publication:W1533200881,publication,W1533200881,Distinction: A Social Critique of the Judgement of Taste*,Distinction: A Social Critique of the Judgement of Taste*,2018,name:food and culture,Food and Culture,20376
publication:W2951912016,publication,W2951912016,fastp: an ultra-fast all-in-one FASTQ preprocessor,fastp: an ultra-fast all-in-one FASTQ preprocessor,2018,S52395412,Bioinformatics,28345
publication:W2889646458,publication,W2889646458,Global cancer statistics 2018: GLOBOCAN estimates of incidence and mortality worldwide for 36 cancers in 185 countries,Global cancer statistics 2018: GLOBOCAN estimates of incidence and mortality worldwide for 36 cancers in 185 countries,2018,S126094547,CA A Cancer Journal for Clinicians,87424
publication:W2799524357,publication,W2799524357,MEGA X: Molecular Evolutionary Genetics Analysis across Computing Platforms,MEGA X: Molecular Evolutionary Genetics Analysis across Computing Platforms,2018,S57552105,Molecular Biology and Evolution,38149
publication:W2789843538,publication,W2789843538,Minimap2: pairwise alignment for nucleotide sequences,Minimap2: pairwise alignment for nucleotide sequences,2018,S52395412,Bioinformatics,16239
publication:W2963163009,publication,W2963163009,MobileNetV2: Inverted Residuals and Linear Bottlenecks,MobileNetV2: Inverted Residuals and Linear Bottlenecks,2018,name:2018 ieee/cvf conference on computer vision and pattern recognition,2018 IEEE/CVF Conference on Computer Vision and Pattern Recognition,24712
publication:W2124192278,publication,W2124192278,Numerical Heat Transfer and Fluid Flow,Numerical Heat Transfer and Fluid Flow,2018,name:без журнала,Без журнала,23343
publication:W2891378911,publication,W2891378911,PRISMA Extension for Scoping Reviews (PRISMA-ScR): Checklist and Explanation,PRISMA Extension for Scoping Reviews (PRISMA-ScR): Checklist and Explanation,2018,S119722071,Annals of Internal Medicine,38299
publication:W2752782242,publication,W2752782242,Squeeze-and-Excitation Networks,Squeeze-and-Excitation Networks,2018,name:2018 ieee/cvf conference on computer vision and pattern recognition,2018 IEEE/CVF Conference on Computer Vision and Pattern Recognition,27521
publication:W2900569176,publication,W2900569176,"STRING v11: protein–protein association networks with increased coverage, supporting functional discovery in genome-wide experimental datasets","STRING v11: protein–protein association networks with increased coverage, supporting functional discovery in genome-wide experimental datasets",2018,S134668137,Nucleic Acids Research,18929
publication:W2412247133,publication,W2412247133,Transforming Our World: The 2030 Agenda for Sustainable Development,Transforming Our World: The 2030 Agenda for Sustainable Development,2018,name:a new era in global health,A New Era in Global Health,19553
publication:W2905811773,publication,W2905811773,When to use and how to report the results of PLS-SEM,When to use and how to report the results of PLS-SEM,2018,S94775995,European Business Review,22682
publication:W2774486220,publication,W2774486220,<b>lmerTest</b> Package: Tests in Linear Mixed Effects Models,<b>lmerTest</b> Package: Tests in Linear Mixed Effects Models,2017,S167961193,Journal of Statistical Software,22634
publication:W1966114254,publication,W1966114254,A Theory of Cognitive Dissonance,A Theory of Cognitive Dissonance,2017,S4306488689,Macat Library eBooks,18344
publication:W2041902442,publication,W2041902442,Computer Simulation of Liquids,Computer Simulation of Liquids,2017,name:без журнала,Без журнала,20875
publication:W2412782625,publication,W2412782625,"DeepLab: Semantic Image Segmentation with Deep Convolutional Nets, Atrous Convolution, and Fully Connected CRFs","DeepLab: Semantic Image Segmentation with Deep Convolutional Nets, Atrous Convolution, and Fully Connected CRFs",2017,S199944782,IEEE Transactions on Pattern Analysis and Machine Intelligence,21743
publication:W2963446712,publication,W2963446712,Densely Connected Convolutional Networks,Densely Connected Convolutional Networks,2017,name:2017 ieee conference on computer vision and pattern recognition (cvpr),2017 IEEE Conference on Computer Vision and Pattern Recognition (CVPR),43912
publication:W2249595199,publication,W2249595199,Discovering Statistics Using Ibm Spss Statistics,Discovering Statistics Using Ibm Spss Statistics,2017,name:без журнала,Без журнала,16559
publication:W2565639579,publication,W2565639579,Feature Pyramid Networks for Object Detection,Feature Pyramid Networks for Object Detection,2017,name:2017 ieee conference on computer vision and pattern recognition (cvpr),2017 IEEE Conference on Computer Vision and Pattern Recognition (CVPR),28144
publication:W2963351448,publication,W2963351448,Focal Loss for Dense Object Detection,Focal Loss for Dense Object Detection,2017,name:2017 ieee international conference on computer vision (iccv),2017 IEEE International Conference on Computer Vision (ICCV),24929
publication:W2099471712,publication,W2099471712,GAN（Generative Adversarial Nets）,GAN（Generative Adversarial Nets）,2017,S19366293,Journal of Japan Society for Fuzzy Theory and Intelligent Informatics,21792
publication:W2962858109,publication,W2962858109,Grad-CAM: Visual Explanations from Deep Networks via Gradient-Based Localization,Grad-CAM: Visual Explanations from Deep Networks via Gradient-Based Localization,2017,name:2017 ieee international conference on computer vision (iccv),2017 IEEE International Conference on Computer Vision (ICCV),20676
publication:W2163605009,publication,W2163605009,ImageNet classification with deep convolutional neural networks,ImageNet classification with deep convolutional neural networks,2017,S103482838,Communications of the ACM,75671
publication:W2607031541,publication,W2607031541,"Magnesium Replacement Improves the Metabolic Profile in Obese and Pre-Diabetic Patients with Mild-to-Moderate Chronic Kidney Disease: A 3-Month, Randomised, Double-Blind, Placebo-Controlled Study","Magnesium Replacement Improves the Metabolic Profile in Obese and Pre-Diabetic Patients with Mild-to-Moderate Chronic Kidney Disease: A 3-Month, Randomised, Double-Blind, Placebo-Controlled Study",2017,S167815962,Kidney & Blood Pressure Research,29696
publication:W2963150697,publication,W2963150697,Mask R-CNN,Mask R-CNN,2017,name:2017 ieee international conference on computer vision (iccv),2017 IEEE International Conference on Computer Vision (ICCV),28314
publication:W2614081736,publication,W2614081736,ModelFinder: fast model selection for accurate phylogenetic estimates,ModelFinder: fast model selection for accurate phylogenetic estimates,2017,S127827428,Nature Methods,18103
publication:W2737217596,publication,W2737217596,"Production, use, and fate of all plastics ever made","Production, use, and fate of all plastics ever made",2017,S2737427234,Science Advances,16954
publication:W2971035958,publication,W2971035958,Qualitative Inquiry and Research Design : Choosing Among Five Approaches,Qualitative Inquiry and Research Design : Choosing Among Five Approaches,2017,name:без журнала,Без журнала,16098
publication:W2580767461,publication,W2580767461,Ror2 signaling regulates Golgi structure and transport through IFT20 for tumor invasiveness,Ror2 signaling regulates Golgi structure and transport through IFT20 for tumor invasiveness,2017,S196734849,Scientific Reports,16087
publication:W2593436234,publication,W2593436234,"SwissADME: a free web tool to evaluate pharmacokinetics, drug-likeness and medicinal chemistry friendliness of small molecules","SwissADME: a free web tool to evaluate pharmacokinetics, drug-likeness and medicinal chemistry friendliness of small molecules",2017,S196734849,Scientific Reports,16401
publication:W1515587369,publication,W1515587369,The Discovery of Grounded Theory,The Discovery of Grounded Theory,2017,name:без журнала,Без журнала,23565
publication:W2118882740,publication,W2118882740,The Interpretation of Cultures,The Interpretation of Cultures,2017,S4306488689,Macat Library eBooks,16558
publication:W2588681363,publication,W2588681363,The “Golden Age” of Probiotics: A Systematic Review and Meta-Analysis of Randomized and Observational Studies in Preterm Infants,The “Golden Age” of Probiotics: A Systematic Review and Meta-Analysis of Randomized and Observational Studies in Preterm Infants,2017,S168252155,Neonatology,24489
publication:W2962793481,publication,W2962793481,Unpaired Image-to-Image Translation Using Cycle-Consistent Adversarial Networks,Unpaired Image-to-Image Translation Using Cycle-Consistent Adversarial Networks,2017,name:2017 ieee international conference on computer vision (iccv),2017 IEEE International Conference on Computer Vision (ICCV),21574
publication:W2614464134,publication,W2614464134,WorldClim 2: new 1‐km spatial resolution climate surfaces for global land areas,WorldClim 2: new 1‐km spatial resolution climate surfaces for global land areas,2017,S32061424,International Journal of Climatology,16185
publication:W2531409750,publication,W2531409750,Xception: Deep Learning with Depthwise Separable Convolutions,Xception: Deep Learning with Depthwise Separable Convolutions,2017,name:2017 ieee conference on computer vision and pattern recognition (cvpr),2017 IEEE Conference on Computer Vision and Pattern Recognition (CVPR),18558
publication:W2570343428,publication,W2570343428,"YOLO9000: Better, Faster, Stronger","YOLO9000: Better, Faster, Stronger",2017,name:2017 ieee conference on computer vision and pattern recognition (cvpr),2017 IEEE Conference on Computer Vision and Pattern Recognition (CVPR),18772
publication:W2327037637,publication,W2327037637,A Guideline of Selecting and Reporting Intraclass Correlation Coefficients for Reliability Research,A Guideline of Selecting and Reporting Intraclass Correlation Coefficients for Reliability Research,2016,S67905653,Journal of Chiropractic Medicine,26502
publication:W2502134830,publication,W2502134830,AJCC Cancer Staging Manual,AJCC Cancer Staging Manual,2016,name:без журнала,Без журнала,17404
publication:W1485283179,publication,W1485283179,Binary Alloy Phase Diagrams,Binary Alloy Phase Diagrams,2016,S4306462866,ASM International eBooks,16142
publication:W2272984102,publication,W2272984102,"Cancer statistics in China, 2015","Cancer statistics in China, 2015",2016,S126094547,CA A Cancer Journal for Clinicians,17946
publication:W2235523093,publication,W2235523093,"Cancer statistics, 2016","Cancer statistics, 2016",2016,S126094547,CA A Cancer Journal for Clinicians,16138
publication:W2401404581,publication,W2401404581,DADA2: High-resolution sample inference from Illumina amplicon data,DADA2: High-resolution sample inference from Illumina amplicon data,2016,S127827428,Nature Methods,35133
publication:W2194775991,publication,W2194775991,Deep Residual Learning for Image Recognition,Deep Residual Learning for Image Recognition,2016,name:2016 ieee conference on computer vision and pattern recognition (cvpr),2016 IEEE Conference on Computer Vision and Pattern Recognition (CVPR),218090
publication:W639708223,publication,W639708223,Faster R-CNN: Towards Real-Time Object Detection with Region Proposal Networks,Faster R-CNN: Towards Real-Time Object Detection with Region Proposal Networks,2016,S199944782,IEEE Transactions on Pattern Analysis and Machine Intelligence,53220
publication:W4254687493,publication,W4254687493,ggplot2,ggplot2,2016,S4210197309,Use R!,31537
publication:W2257979135,publication,W2257979135,Mastering the game of Go with deep neural networks and tree search,Mastering the game of Go with deep neural networks and tree search,2016,S137773608,Nature,15638
publication:W2311203695,publication,W2311203695,MEGA7: Molecular Evolutionary Genetics Analysis Version 7.0 for Bigger Datasets,MEGA7: Molecular Evolutionary Genetics Analysis Version 7.0 for Bigger Datasets,2016,S57552105,Molecular Biology and Evolution,45246
publication:W2567289819,publication,W2567289819,null,null,2016,S2764821508,Philosophy study,28320
publication:W2560367415,publication,W2560367415,PD-1 and PD-L1 Immune Checkpoint Blockade to Treat Breast Cancer,PD-1 and PD-L1 Immune Checkpoint Blockade to Treat Breast Cancer,2016,S9986330,Breast Care,30917
publication:W2560438049,publication,W2560438049,Rayyan—a web and mobile app for systematic reviews,Rayyan—a web and mobile app for systematic reviews,2016,S82452678,Systematic Reviews,23489
publication:W2183341477,publication,W2183341477,Rethinking the Inception Architecture for Computer Vision,Rethinking the Inception Architecture for Computer Vision,2016,name:2016 ieee conference on computer vision and pattern recognition (cvpr),2016 IEEE Conference on Computer Vision and Pattern Recognition (CVPR),30532
publication:W2531269403,publication,W2531269403,ROBINS-I: a tool for assessing risk of bias in non-randomised studies of interventions,ROBINS-I: a tool for assessing risk of bias in non-randomised studies of interventions,2016,S4393917726,BMJ,18270
publication:W3106250896,publication,W3106250896,SSD: Single Shot MultiBox Detector,SSD: Single Shot MultiBox Detector,2016,name:http://www.cs.unc.edu/%7ewliu/papers/ssd.pdf,http://www.cs.unc.edu/%7Ewliu/papers/ssd.pdf,30527
publication:W2193145675,publication,W2193145675,SSD: Single Shot MultiBox Detector,SSD: Single Shot MultiBox Detector,2016,S106296714,Lecture notes in computer science,20466
publication:W2366536035,publication,W2366536035,The 2016 World Health Organization Classification of Tumors of the Central Nervous System: a summary,The 2016 World Health Organization Classification of Tumors of the Central Nervous System: a summary,2016,S198620474,Acta Neuropathologica,15781
publication:W2302501749,publication,W2302501749,The FAIR Guiding Principles for scientific data management and stewardship,The FAIR Guiding Principles for scientific data management and stewardship,2016,S2607323502,Scientific Data,17160
publication:W2280404143,publication,W2280404143,The Third International Consensus Definitions for Sepsis and Septic Shock (Sepsis-3),The Third International Consensus Definitions for Sepsis and Septic Shock (Sepsis-3),2016,S172573765,JAMA,27215
publication:W2295598076,publication,W2295598076,XGBoost,XGBoost,2016,name:proceedings of the 22nd acm sigkdd international conference on knowledge discovery and data mining,Proceedings of the 22nd ACM SIGKDD International Conference on Knowledge Discovery and Data Mining,46136
publication:W2145150141,publication,W2145150141,2015 American Thyroid Association Management Guidelines for Adult Patients with Thyroid Nodules and Differentiated Thyroid Cancer: The American Thyroid Association Guidelines Task Force on Thyroid Nodules and Differentiated Thyroid Cancer,2015 American Thyroid Association Management Guidelines for Adult Patients with Thyroid Nodules and Differentiated Thyroid Cancer: The American Thyroid Association Guidelines Task Force on Thyroid Nodules and Differentiated Thyroid Cancer,2015,S27569427,Thyroid,16188
publication:W2104549677,publication,W2104549677,A global reference for human genetic variation,A global reference for human genetic variation,2015,S137773608,Nature,19664
publication:W2000380427,publication,W2000380427,A primer on partial least squares structural equation modeling (PLS-SEM),A primer on partial least squares structural equation modeling (PLS-SEM),2015,S114106686,International Journal of Research & Method in Education,18980
publication:W2919115771,publication,W2919115771,Deep learning,Deep learning,2015,S137773608,Nature,79802
publication:W1677182931,publication,W1677182931,Delving Deep into Rectifiers: Surpassing Human-Level Performance on ImageNet Classification,Delving Deep into Rectifiers: Surpassing Human-Level Performance on ImageNet Classification,2015,name:2015 ieee international conference on computer vision (iccv),2015 IEEE International Conference on Computer Vision (ICCV),18605
publication:W1536680647,publication,W1536680647,Fast R-CNN,Fast R-CNN,2015,name:2015 ieee international conference on computer vision (iccv),2015 IEEE International Conference on Computer Vision (ICCV),27537
publication:W1951724000,publication,W1951724000,Fitting Linear Mixed-Effects Models Using <b>lme4</b>,Fitting Linear Mixed-Effects Models Using <b>lme4</b>,2015,S167961193,Journal of Statistical Software,83351
publication:W1903029394,publication,W1903029394,Fully convolutional networks for semantic segmentation,Fully convolutional networks for semantic segmentation,2015,name:2015 ieee conference on computer vision and pattern recognition (cvpr),2015 IEEE Conference on Computer Vision and Pattern Recognition (CVPR),36526
publication:W2917837889,publication,W2917837889,"Global cancer statistics, 2012","Global cancer statistics, 2012",2015,S126094547,CA A Cancer Journal for Clinicians,27328
publication:W2097117768,publication,W2097117768,Going deeper with convolutions,Going deeper with convolutions,2015,name:2015 ieee conference on computer vision and pattern recognition (cvpr),2015 IEEE Conference on Computer Vision and Pattern Recognition (CVPR),46492
publication:W1031578623,publication,W1031578623,GROMACS: High performance molecular simulations through multi-level parallelism from laptops to supercomputers,GROMACS: High performance molecular simulations through multi-level parallelism from laptops to supercomputers,2015,S2506067282,SoftwareX,25876
publication:W2102278945,publication,W2102278945,HISAT: a fast spliced aligner with low memory requirements,HISAT: a fast spliced aligner with low memory requirements,2015,S127827428,Nature Methods,25624
publication:W2145339207,publication,W2145339207,Human-level control through deep reinforcement learning,Human-level control through deep reinforcement learning,2015,S137773608,Nature,29352
publication:W2117539524,publication,W2117539524,ImageNet Large Scale Visual Recognition Challenge,ImageNet Large Scale Visual Recognition Challenge,2015,S25538012,International Journal of Computer Vision,39818
publication:W2146512944,publication,W2146512944,limma powers differential expression analyses for RNA-sequencing and microarray studies,limma powers differential expression analyses for RNA-sequencing and microarray studies,2015,S134668137,Nucleic Acids Research,42138
publication:W2167311298,publication,W2167311298,Older Adults' Reasons for Using Technology while Aging in Place,Older Adults' Reasons for Using Technology while Aging in Place,2015,S190989491,Gerontology,19737
publication:W843007777,publication,W843007777,"Physisorption of gases, with special reference to the evaluation of surface area and pore size distribution (IUPAC Technical Report)","Physisorption of gases, with special reference to the evaluation of surface area and pore size distribution (IUPAC Technical Report)",2015,S142816121,Pure and Applied Chemistry,19062
publication:W2161374186,publication,W2161374186,Preferred reporting items for systematic review and meta-analysis protocols (PRISMA-P) 2015 statement,Preferred reporting items for systematic review and meta-analysis protocols (PRISMA-P) 2015 statement,2015,S82452678,Systematic Reviews,26134
publication:W2149868499,publication,W2149868499,Qualitative Inquiry and Research Design: Choosing Among Five Approaches,Qualitative Inquiry and Research Design: Choosing Among Five Approaches,2015,S176903982,Health Promotion Practice,22251
publication:W2124624517,publication,W2124624517,Recommendations for Cardiac Chamber Quantification by Echocardiography in Adults: An Update from the American Society of Echocardiography and the European Association of Cardiovascular Imaging,Recommendations for Cardiac Chamber Quantification by Echocardiography in Adults: An Update from the American Society of Echocardiography and the European Association of Cardiovascular Imaging,2015,S185321339,Journal of the American Society of Echocardiography,17783
publication:W1523693806,publication,W1523693806,Repertoires of Autophagy in the Pathogenesis of Ocular Diseases,Repertoires of Autophagy in the Pathogenesis of Ocular Diseases,2015,S161399637,Cellular Physiology and Biochemistry,16339
publication:W2051978340,publication,W2051978340,Standards and guidelines for the interpretation of sequence variants: a joint consensus recommendation of the American College of Medical Genetics and Genomics and the Association for Molecular Pathology,Standards and guidelines for the interpretation of sequence variants: a joint consensus recommendation of the American College of Medical Genetics and Genomics and the Association for Molecular Pathology,2015,S187186932,Genetics in Medicine,31402
publication:W246286872,publication,W246286872,The Effect of Riding as an Alternative Treatment for Children with Cerebral Palsy: A Systematic Review and Meta-Analysis,The Effect of Riding as an Alternative Treatment for Children with Cerebral Palsy: A Systematic Review and Meta-Analysis,2015,S4210208459,Integrative Medicine International,18696
publication:W2012034410,publication,W2012034410,Tissue-based map of the human proteome,Tissue-based map of the human proteome,2015,S3880285,Science,15641
