id,type,year,label,publication_id,title,journal_id,journal_name,cited_by_count,name,issn_l,source_type,host_organization_name,person_id,display_name,orcid,affiliation_id,institution_name,country_code,institution_type,latitude,longitude,raw_affiliation
year:1953,year,1953,1953,,,,,,,,,,,,,,,,,,,
year:1952,year,1952,1952,,,,,,,,,,,,,,,,,,,
year:1951,year,1951,1951,,,,,,,,,,,,,,,,,,,
year:1949,year,1949,1949,,,,,,,,,,,,,,,,,,,
year:1948,year,1948,1948,,,,,,,,,,,,,,,,,,,
year:1947,year,1947,1947,,,,,,,,,,,,,,,,,,,
year:1945,year,1945,1945,,,,,,,,,,,,,,,,,,,
year:1943,year,1943,1943,,,,,,,,,,,,,,,,,,,
year:1939,year,1939,1939,,,,,,,,,,,,,,,,,,,
year:1938,year,1938,1938,,,,,,,,,,,,,,,,,,,
year:1937,year,1937,1937,,,,,,,,,,,,,,,,,,,
year:1935,year,1935,1935,,,,,,,,,,,,,,,,,,,
year:1934,year,1934,1934,,,,,,,,,,,,,,,,,,,
year:1930,year,1930,1930,,,,,,,,,,,,,,,,,,,
year:1925,year,1925,1925,,,,,,,,,,,,,,,,,,,
year:1918,year,1918,1918,,,,,,,,,,,,,,,,,,,
publication:W2964015378,publication,2025,Detecting Functionality-Specific Vulnerabilities via Retrieving Individual Functionality-Equivalent APIs in Open-Source Repositories,W2964015378,Detecting Functionality-Specific Vulnerabilities via Retrieving Individual Functionality-Equivalent APIs in Open-Source Repositories,S7407052059,Dagstuhl Research Online Publication Server,16099,,,,,,,,,,,,,,
publication:W2787959293,publication,2025,Fractional Differential Equations,W2787959293,Fractional Differential Equations,name:без журнала,Без журнала,20501,,,,,,,,,,,,,,
publication:W1803273808,publication,2025,The Coding Manual for Qualitative Researchers,W1803273808,The Coding Manual for Qualitative Researchers,name:без журнала,Без журнала,17891,,,,,,,,,,,,,,
publication:W4393935425,publication,2024,Global cancer statistics 2022: GLOBOCAN estimates of incidence and mortality worldwide for 36 cancers in 185 countries,W4393935425,Global cancer statistics 2022: GLOBOCAN estimates of incidence and mortality worldwide for 36 cancers in 185 countries,S126094547,CA A Cancer Journal for Clinicians,21217,,,,,,,,,,,,,,
publication:W4392145873,publication,2024,"Two new Later Stone Age sites from the Final Pleistocene in the Falémé Valley, eastern Senegal",W4392145873,"Two new Later Stone Age sites from the Final Pleistocene in the Falémé Valley, eastern Senegal",S4210235606,ENLIGHTEN (Jurnal Bimbingan dan Konseling Islam),23814,,,,,,,,,,,,,,
publication:W4315754639,publication,2023,"Cancer statistics, 2023",W4315754639,"Cancer statistics, 2023",S126094547,CA A Cancer Journal for Clinicians,16372,,,,,,,,,,,,,,
publication:W4320013936,publication,2023,Generative Adversarial Nets,W4320013936,Generative Adversarial Nets,name:machine learning under malware attack,Machine Learning under Malware Attack,19895,,,,,,,,,,,,,,
publication:W4385245566,publication,2023,MizAR 60 for Mizar 50,W4385245566,MizAR 60 for Mizar 50,S4377196569,DROPS (Schloss Dagstuhl – Leibniz Center for Informatics),74877,,,,,,,,,,,,,,
publication:W4367314869,publication,2023,The Presentation of Self in Everyday Life,W4367314869,The Presentation of Self in Everyday Life,name:social theory re-wired,Social Theory Re-Wired,17680,,,,,,,,,,,,,,
publication:W4214907476,publication,2022,Advances In Experimental Social Psychology,W4214907476,Advances In Experimental Social Psychology,S106560479,Advances in experimental social psychology,22492,,,,,,,,,,,,,,
publication:W4206841660,publication,2022,"Cancer statistics, 2022",W4206841660,"Cancer statistics, 2022",S126094547,CA A Cancer Journal for Clinicians,18040,,,,,,,,,,,,,,
publication:W4281687410,publication,2022,Diagnostic and Statistical Manual of Mental Disorders,W4281687410,Diagnostic and Statistical Manual of Mental Disorders,S4306462816,American Psychiatric Association Publishing eBooks,20775,,,,,,,,,,,,,,
publication:W3119005666,publication,2021,"Cancer Statistics, 2021",W3119005666,"Cancer Statistics, 2021",S126094547,CA A Cancer Journal for Clinicians,17302,,,,,,,,,,,,,,
publication:W3128646645,publication,2021,Global Cancer Statistics 2020: GLOBOCAN Estimates of Incidence and Mortality Worldwide for 36 Cancers in 185 Countries,W3128646645,Global Cancer Statistics 2020: GLOBOCAN Estimates of Incidence and Mortality Worldwide for 36 Cancers in 185 Countries,S126094547,CA A Cancer Journal for Clinicians,111051,,,,,,,,,,,,,,
publication:W3177828909,publication,2021,Highly accurate protein structure prediction with AlphaFold,W3177828909,Highly accurate protein structure prediction with AlphaFold,S137773608,Nature,43443,,,,,,,,,,,,,,
publication:W4251751280,publication,2021,MEGA11: Molecular Evolutionary Genetics Analysis Version 11,W4251751280,MEGA11: Molecular Evolutionary Genetics Analysis Version 11,S57552105,Molecular Biology and Evolution,21206,,,,,,,,,,,,,,
publication:W3138516171,publication,2021,Swin Transformer: Hierarchical Vision Transformer using Shifted Windows,W3138516171,Swin Transformer: Hierarchical Vision Transformer using Shifted Windows,S4363607764,2021 IEEE/CVF International Conference on Computer Vision (ICCV),28826,,,,,,,,,,,,,,
publication:W3118615836,publication,2021,The PRISMA 2020 statement: an updated guideline for reporting systematic reviews,W3118615836,The PRISMA 2020 statement: an updated guideline for reporting systematic reviews,S4393917726,BMJ,88531,,,,,,,,,,,,,,
publication:W2964121744,publication,2021,Без названия,W2964121744,Без названия,S4377196569,DROPS (Schloss Dagstuhl – Leibniz Center for Informatics),50141,,,,,,,,,,,,,,
publication:W3001897055,publication,2020,"A Novel Coronavirus from Patients with Pneumonia in China, 2019",W3001897055,"A Novel Coronavirus from Patients with Pneumonia in China, 2019",S62468778,New England Journal of Medicine,30234,,,,,,,,,,,,,,
publication:W3004280078,publication,2020,A pneumonia outbreak associated with a new coronavirus of probable bat origin,W3004280078,A pneumonia outbreak associated with a new coronavirus of probable bat origin,S137773608,Nature,23233,,,,,,,,,,,,,,
publication:W3099878876,publication,2020,Array programming with NumPy,W3099878876,Array programming with NumPy,S4306402624,TUScholarShare (Temple University),18804,,,,,,,,,,,,,,
publication:W3035965352,publication,2020,Array programming with NumPy,W3035965352,Array programming with NumPy,S137773608,Nature,21224,,,,,,,,,,,,,,
publication:W2999417355,publication,2020,"Cancer statistics, 2020",W2999417355,"Cancer statistics, 2020",S126094547,CA A Cancer Journal for Clinicians,21321,,,,,,,,,,,,,,
publication:W3008028633,publication,2020,Characteristics of and Important Lessons From the Coronavirus Disease 2019 (COVID-19) Outbreak in China,W3008028633,Characteristics of and Important Lessons From the Coronavirus Disease 2019 (COVID-19) Outbreak in China,S172573765,JAMA,17945,,,,,,,,,,,,,,
publication:W3039083618,publication,2020,Classical Electrodynamics,W3039083618,Classical Electrodynamics,S4306463805,Princeton University Press eBooks,22229,,,,,,,,,,,,,,
publication:W3005079553,publication,2020,"Clinical Characteristics of 138 Hospitalized Patients With 2019 Novel Coronavirus–Infected Pneumonia in Wuhan, China",W3005079553,"Clinical Characteristics of 138 Hospitalized Patients With 2019 Novel Coronavirus–Infected Pneumonia in Wuhan, China",S172573765,JAMA,21139,,,,,,,,,,,,,,
publication:W3008827533,publication,2020,Clinical Characteristics of Coronavirus Disease 2019 in China,W3008827533,Clinical Characteristics of Coronavirus Disease 2019 in China,S62468778,New England Journal of Medicine,31083,,,,,,,,,,,,,,
publication:W3009885589,publication,2020,"Clinical course and risk factors for mortality of adult inpatients with COVID-19 in Wuhan, China: a retrospective cohort study",W3009885589,"Clinical course and risk factors for mortality of adult inpatients with COVID-19 in Wuhan, China: a retrospective cohort study",S49861241,The Lancet,29034,,,,,,,,,,,,,,
publication:W3001118548,publication,2020,"Clinical features of patients infected with 2019 novel coronavirus in Wuhan, China",W3001118548,"Clinical features of patients infected with 2019 novel coronavirus in Wuhan, China",S49861241,The Lancet,51636,,,,,,,,,,,,,,
publication:W3003668884,publication,2020,"Early Transmission Dynamics in Wuhan, China, of Novel Coronavirus–Infected Pneumonia",W3003668884,"Early Transmission Dynamics in Wuhan, China, of Novel Coronavirus–Infected Pneumonia",S62468778,New England Journal of Medicine,17909,,,,,,,,,,,,,,
publication:W3002108456,publication,2020,"Epidemiological and clinical characteristics of 99 cases of 2019 novel coronavirus pneumonia in Wuhan, China: a descriptive study",W3002108456,"Epidemiological and clinical characteristics of 99 cases of 2019 novel coronavirus pneumonia in Wuhan, China: a descriptive study",S49861241,The Lancet,22636,,,,,,,,,,,,,,
publication:W3092849554,publication,2020,"Global burden of 369 diseases and injuries in 204 countries and territories, 1990–2019: a systematic analysis for the Global Burden of Disease Study 2019",W3092849554,"Global burden of 369 diseases and injuries in 204 countries and territories, 1990–2019: a systematic analysis for the Global Burden of Disease Study 2019",S49861241,The Lancet,18650,,,,,,,,,,,,,,
publication:W3005235420,publication,2020,IQ-TREE 2: New Models and Efficient Methods for Phylogenetic Inference in the Genomic Era,W3005235420,IQ-TREE 2: New Models and Efficient Methods for Phylogenetic Inference in the Genomic Era,S57552105,Molecular Biology and Evolution,15871,,,,,,,,,,,,,,
publication:W3165656738,publication,2020,La certeza de lo impredecible: Cultura Educación y Sociedad en tiempos de COVID19,W3165656738,La certeza de lo impredecible: Cultura Educación y Sociedad en tiempos de COVID19,S4377196388,DSPACE System - Metalibrary (University of the Coast),19284,,,,,,,,,,,,,,
publication:W3038568908,publication,2020,Radiation Resistant Camera System for Monitoring Deuterium Plasma Discharges in the Large Helical Device,W3038568908,Radiation Resistant Camera System for Monitoring Deuterium Plasma Discharges in the Large Helical Device,S46033839,Plasma and Fusion Research,801217,,,,,,,,,,,,,,
publication:W3009912996,publication,2020,SARS-CoV-2 Cell Entry Depends on ACE2 and TMPRSS2 and Is Blocked by a Clinically Proven Protease Inhibitor,W3009912996,SARS-CoV-2 Cell Entry Depends on ACE2 and TMPRSS2 and Is Blocked by a Clinically Proven Protease Inhibitor,S110447773,Cell,21227,,,,,,,,,,,,,,
publication:W3003257820,publication,2020,SciPy 1.0: fundamental algorithms for scientific computing in Python,W3003257820,SciPy 1.0: fundamental algorithms for scientific computing in Python,S127827428,Nature Methods,36481,,,,,,,,,,,,,,
publication:W3025949386,publication,2020,The ERA5 global reanalysis,W3025949386,The ERA5 global reanalysis,S70522100,Quarterly Journal of the Royal Meteorological Society,29134,,,,,,,,,,,,,,
publication:W3006659024,publication,2020,The psychological impact of quarantine and how to reduce it: rapid review of the evidence,W3006659024,The psychological impact of quarantine and how to reduce it: rapid review of the evidence,S49861241,The Lancet,16217,,,,,,,,,,,,,,
publication:W2911188335,publication,2019,"Cancer statistics, 2019",W2911188335,"Cancer statistics, 2019",S126094547,CA A Cancer Journal for Clinicians,20887,,,,,,,,,,,,,,
publication:W2949177718,publication,2019,Comprehensive Integration of Single-Cell Data,W2949177718,Comprehensive Integration of Single-Cell Data,S110447773,Cell,16460,,,,,,,,,,,,,,
publication:W1990513740,publication,2019,Diffusion of Innovations 1,W1990513740,Diffusion of Innovations 1,name:an integrated approach to communication theory and research,An Integrated Approach to Communication Theory and Research,37198,,,,,,,,,,,,,,
publication:W2965373594,publication,2019,"HISTORIAE, History of Socio-Cultural Transformation as Linguistic Data Science. A Humanities Use Case",W2965373594,"HISTORIAE, History of Socio-Cultural Transformation as Linguistic Data Science. A Humanities Use Case",S4377196569,DROPS (Schloss Dagstuhl – Leibniz Center for Informatics),17242,,,,,,,,,,,,,,
publication:W2950504429,publication,2019,Reflecting on reflexive thematic analysis,W2950504429,Reflecting on reflexive thematic analysis,S2764513707,Qualitative Research in Sport Exercise and Health,16053,,,,,,,,,,,,,,
publication:W2963276645,publication,2019,"Reproducible, interactive, scalable and extensible microbiome data science using QIIME 2",W2963276645,"Reproducible, interactive, scalable and extensible microbiome data science using QIIME 2",S106963461,Nature Biotechnology,23202,,,,,,,,,,,,,,
publication:W2970684805,publication,2019,RoB 2: a revised tool for assessing risk of bias in randomised trials,W2970684805,RoB 2: a revised tool for assessing risk of bias in randomised trials,S4393917726,BMJ,29194,,,,,,,,,,,,,,
publication:W2944434778,publication,2019,The REDCap consortium: Building an international community of software platform partners,W2944434778,The REDCap consortium: Building an international community of software platform partners,S11622463,Journal of Biomedical Informatics,23137,,,,,,,,,,,,,,
publication:W2144846366,publication,2019,Theory of games and economic behavior,W2144846366,Theory of games and economic behavior,S4306462811,American Mathematical Society eBooks,16928,,,,,,,,,,,,,,
publication:W2990427812,publication,2019,Welcome to the Tidyverse,W2990427812,Welcome to the Tidyverse,S4210214273,The Journal of Open Source Software,20667,,,,,,,,,,,,,,
publication:W2963341956,publication,2019,Без названия,W2963341956,Без названия,name:proceedings of the 2019 conference of the north,Proceedings of the 2019 Conference of the North,31791,,,,,,,,,,,,,,
publication:W2896457183,publication,2018,AI-Assisted Pipeline for Dynamic Generation of Trustworthy Health Supplement Content at Scale,W2896457183,AI-Assisted Pipeline for Dynamic Generation of Trustworthy Health Supplement Content at Scale,S4377196569,DROPS (Schloss Dagstuhl – Leibniz Center for Informatics),45495,,,,,,,,,,,,,,
publication:W2781525129,publication,2018,"Cancer statistics, 2018",W2781525129,"Cancer statistics, 2018",S126094547,CA A Cancer Journal for Clinicians,16957,,,,,,,,,,,,,,
publication:W2884585870,publication,2018,CBAM: Convolutional Block Attention Module,W2884585870,CBAM: Convolutional Block Attention Module,S106296714,Lecture notes in computer science,21612,,,,,,,,,,,,,,
publication:W2129905273,publication,2018,Density Estimation for Statistics and Data Analysis,W2129905273,Density Estimation for Statistics and Data Analysis,name:без журнала,Без журнала,15906,,,,,,,,,,,,,,
publication:W1533200881,publication,2018,Distinction: A Social Critique of the Judgement of Taste*,W1533200881,Distinction: A Social Critique of the Judgement of Taste*,name:food and culture,Food and Culture,20376,,,,,,,,,,,,,,
publication:W2951912016,publication,2018,fastp: an ultra-fast all-in-one FASTQ preprocessor,W2951912016,fastp: an ultra-fast all-in-one FASTQ preprocessor,S52395412,Bioinformatics,28345,,,,,,,,,,,,,,
publication:W2889646458,publication,2018,Global cancer statistics 2018: GLOBOCAN estimates of incidence and mortality worldwide for 36 cancers in 185 countries,W2889646458,Global cancer statistics 2018: GLOBOCAN estimates of incidence and mortality worldwide for 36 cancers in 185 countries,S126094547,CA A Cancer Journal for Clinicians,87424,,,,,,,,,,,,,,
publication:W2799524357,publication,2018,MEGA X: Molecular Evolutionary Genetics Analysis across Computing Platforms,W2799524357,MEGA X: Molecular Evolutionary Genetics Analysis across Computing Platforms,S57552105,Molecular Biology and Evolution,38149,,,,,,,,,,,,,,
publication:W2789843538,publication,2018,Minimap2: pairwise alignment for nucleotide sequences,W2789843538,Minimap2: pairwise alignment for nucleotide sequences,S52395412,Bioinformatics,16239,,,,,,,,,,,,,,
publication:W2963163009,publication,2018,MobileNetV2: Inverted Residuals and Linear Bottlenecks,W2963163009,MobileNetV2: Inverted Residuals and Linear Bottlenecks,name:2018 ieee/cvf conference on computer vision and pattern recognition,2018 IEEE/CVF Conference on Computer Vision and Pattern Recognition,24712,,,,,,,,,,,,,,
publication:W2124192278,publication,2018,Numerical Heat Transfer and Fluid Flow,W2124192278,Numerical Heat Transfer and Fluid Flow,name:без журнала,Без журнала,23343,,,,,,,,,,,,,,
publication:W2891378911,publication,2018,PRISMA Extension for Scoping Reviews (PRISMA-ScR): Checklist and Explanation,W2891378911,PRISMA Extension for Scoping Reviews (PRISMA-ScR): Checklist and Explanation,S119722071,Annals of Internal Medicine,38299,,,,,,,,,,,,,,
publication:W2752782242,publication,2018,Squeeze-and-Excitation Networks,W2752782242,Squeeze-and-Excitation Networks,name:2018 ieee/cvf conference on computer vision and pattern recognition,2018 IEEE/CVF Conference on Computer Vision and Pattern Recognition,27521,,,,,,,,,,,,,,
publication:W2900569176,publication,2018,"STRING v11: protein–protein association networks with increased coverage, supporting functional discovery in genome-wide experimental datasets",W2900569176,"STRING v11: protein–protein association networks with increased coverage, supporting functional discovery in genome-wide experimental datasets",S134668137,Nucleic Acids Research,18929,,,,,,,,,,,,,,
publication:W2412247133,publication,2018,Transforming Our World: The 2030 Agenda for Sustainable Development,W2412247133,Transforming Our World: The 2030 Agenda for Sustainable Development,name:a new era in global health,A New Era in Global Health,19553,,,,,,,,,,,,,,
publication:W2905811773,publication,2018,When to use and how to report the results of PLS-SEM,W2905811773,When to use and how to report the results of PLS-SEM,S94775995,European Business Review,22682,,,,,,,,,,,,,,
publication:W2774486220,publication,2017,<b>lmerTest</b> Package: Tests in Linear Mixed Effects Models,W2774486220,<b>lmerTest</b> Package: Tests in Linear Mixed Effects Models,S167961193,Journal of Statistical Software,22634,,,,,,,,,,,,,,
publication:W1966114254,publication,2017,A Theory of Cognitive Dissonance,W1966114254,A Theory of Cognitive Dissonance,S4306488689,Macat Library eBooks,18344,,,,,,,,,,,,,,
publication:W2041902442,publication,2017,Computer Simulation of Liquids,W2041902442,Computer Simulation of Liquids,name:без журнала,Без журнала,20875,,,,,,,,,,,,,,
publication:W2412782625,publication,2017,"DeepLab: Semantic Image Segmentation with Deep Convolutional Nets, Atrous Convolution, and Fully Connected CRFs",W2412782625,"DeepLab: Semantic Image Segmentation with Deep Convolutional Nets, Atrous Convolution, and Fully Connected CRFs",S199944782,IEEE Transactions on Pattern Analysis and Machine Intelligence,21743,,,,,,,,,,,,,,
publication:W2963446712,publication,2017,Densely Connected Convolutional Networks,W2963446712,Densely Connected Convolutional Networks,name:2017 ieee conference on computer vision and pattern recognition (cvpr),2017 IEEE Conference on Computer Vision and Pattern Recognition (CVPR),43912,,,,,,,,,,,,,,
publication:W2249595199,publication,2017,Discovering Statistics Using Ibm Spss Statistics,W2249595199,Discovering Statistics Using Ibm Spss Statistics,name:без журнала,Без журнала,16559,,,,,,,,,,,,,,
publication:W2565639579,publication,2017,Feature Pyramid Networks for Object Detection,W2565639579,Feature Pyramid Networks for Object Detection,name:2017 ieee conference on computer vision and pattern recognition (cvpr),2017 IEEE Conference on Computer Vision and Pattern Recognition (CVPR),28144,,,,,,,,,,,,,,
publication:W2963351448,publication,2017,Focal Loss for Dense Object Detection,W2963351448,Focal Loss for Dense Object Detection,name:2017 ieee international conference on computer vision (iccv),2017 IEEE International Conference on Computer Vision (ICCV),24929,,,,,,,,,,,,,,
publication:W2099471712,publication,2017,GAN（Generative Adversarial Nets）,W2099471712,GAN（Generative Adversarial Nets）,S19366293,Journal of Japan Society for Fuzzy Theory and Intelligent Informatics,21792,,,,,,,,,,,,,,
publication:W2962858109,publication,2017,Grad-CAM: Visual Explanations from Deep Networks via Gradient-Based Localization,W2962858109,Grad-CAM: Visual Explanations from Deep Networks via Gradient-Based Localization,name:2017 ieee international conference on computer vision (iccv),2017 IEEE International Conference on Computer Vision (ICCV),20676,,,,,,,,,,,,,,
publication:W2163605009,publication,2017,ImageNet classification with deep convolutional neural networks,W2163605009,ImageNet classification with deep convolutional neural networks,S103482838,Communications of the ACM,75671,,,,,,,,,,,,,,
publication:W2607031541,publication,2017,"Magnesium Replacement Improves the Metabolic Profile in Obese and Pre-Diabetic Patients with Mild-to-Moderate Chronic Kidney Disease: A 3-Month, Randomised, Double-Blind, Placebo-Controlled Study",W2607031541,"Magnesium Replacement Improves the Metabolic Profile in Obese and Pre-Diabetic Patients with Mild-to-Moderate Chronic Kidney Disease: A 3-Month, Randomised, Double-Blind, Placebo-Controlled Study",S167815962,Kidney & Blood Pressure Research,29696,,,,,,,,,,,,,,
publication:W2963150697,publication,2017,Mask R-CNN,W2963150697,Mask R-CNN,name:2017 ieee international conference on computer vision (iccv),2017 IEEE International Conference on Computer Vision (ICCV),28314,,,,,,,,,,,,,,
publication:W2614081736,publication,2017,ModelFinder: fast model selection for accurate phylogenetic estimates,W2614081736,ModelFinder: fast model selection for accurate phylogenetic estimates,S127827428,Nature Methods,18103,,,,,,,,,,,,,,
publication:W2737217596,publication,2017,"Production, use, and fate of all plastics ever made",W2737217596,"Production, use, and fate of all plastics ever made",S2737427234,Science Advances,16954,,,,,,,,,,,,,,
publication:W2971035958,publication,2017,Qualitative Inquiry and Research Design : Choosing Among Five Approaches,W2971035958,Qualitative Inquiry and Research Design : Choosing Among Five Approaches,name:без журнала,Без журнала,16098,,,,,,,,,,,,,,
publication:W2580767461,publication,2017,Ror2 signaling regulates Golgi structure and transport through IFT20 for tumor invasiveness,W2580767461,Ror2 signaling regulates Golgi structure and transport through IFT20 for tumor invasiveness,S196734849,Scientific Reports,16087,,,,,,,,,,,,,,
publication:W2593436234,publication,2017,"SwissADME: a free web tool to evaluate pharmacokinetics, drug-likeness and medicinal chemistry friendliness of small molecules",W2593436234,"SwissADME: a free web tool to evaluate pharmacokinetics, drug-likeness and medicinal chemistry friendliness of small molecules",S196734849,Scientific Reports,16401,,,,,,,,,,,,,,
publication:W1515587369,publication,2017,The Discovery of Grounded Theory,W1515587369,The Discovery of Grounded Theory,name:без журнала,Без журнала,23565,,,,,,,,,,,,,,
publication:W2118882740,publication,2017,The Interpretation of Cultures,W2118882740,The Interpretation of Cultures,S4306488689,Macat Library eBooks,16558,,,,,,,,,,,,,,
publication:W2588681363,publication,2017,The “Golden Age” of Probiotics: A Systematic Review and Meta-Analysis of Randomized and Observational Studies in Preterm Infants,W2588681363,The “Golden Age” of Probiotics: A Systematic Review and Meta-Analysis of Randomized and Observational Studies in Preterm Infants,S168252155,Neonatology,24489,,,,,,,,,,,,,,
publication:W2962793481,publication,2017,Unpaired Image-to-Image Translation Using Cycle-Consistent Adversarial Networks,W2962793481,Unpaired Image-to-Image Translation Using Cycle-Consistent Adversarial Networks,name:2017 ieee international conference on computer vision (iccv),2017 IEEE International Conference on Computer Vision (ICCV),21574,,,,,,,,,,,,,,
publication:W2614464134,publication,2017,WorldClim 2: new 1‐km spatial resolution climate surfaces for global land areas,W2614464134,WorldClim 2: new 1‐km spatial resolution climate surfaces for global land areas,S32061424,International Journal of Climatology,16185,,,,,,,,,,,,,,
publication:W2531409750,publication,2017,Xception: Deep Learning with Depthwise Separable Convolutions,W2531409750,Xception: Deep Learning with Depthwise Separable Convolutions,name:2017 ieee conference on computer vision and pattern recognition (cvpr),2017 IEEE Conference on Computer Vision and Pattern Recognition (CVPR),18558,,,,,,,,,,,,,,
publication:W2570343428,publication,2017,"YOLO9000: Better, Faster, Stronger",W2570343428,"YOLO9000: Better, Faster, Stronger",name:2017 ieee conference on computer vision and pattern recognition (cvpr),2017 IEEE Conference on Computer Vision and Pattern Recognition (CVPR),18772,,,,,,,,,,,,,,
publication:W2327037637,publication,2016,A Guideline of Selecting and Reporting Intraclass Correlation Coefficients for Reliability Research,W2327037637,A Guideline of Selecting and Reporting Intraclass Correlation Coefficients for Reliability Research,S67905653,Journal of Chiropractic Medicine,26502,,,,,,,,,,,,,,
publication:W2502134830,publication,2016,AJCC Cancer Staging Manual,W2502134830,AJCC Cancer Staging Manual,name:без журнала,Без журнала,17404,,,,,,,,,,,,,,
publication:W1485283179,publication,2016,Binary Alloy Phase Diagrams,W1485283179,Binary Alloy Phase Diagrams,S4306462866,ASM International eBooks,16142,,,,,,,,,,,,,,
publication:W2272984102,publication,2016,"Cancer statistics in China, 2015",W2272984102,"Cancer statistics in China, 2015",S126094547,CA A Cancer Journal for Clinicians,17946,,,,,,,,,,,,,,
